"Access denied.","Zugang verweigert."
"Can not find webservice adapter.","Webservice-Adapter ist nicht auffindbar."
"Client Session Timeout (sec.)","Kunde Session-Timeout (in Sekunden)"
"Default Response Charset","Standard-Schriftsatz für Antwort"
"Email","E-Mail"
"Enable WSDL Cache","WSDL-Zwischenspeicher aktivieren"
"General Settings","Allgemeine Einstellungen"
"Invalid webservice adapter specified.","Ungültiger Webservice Adapter angegeben."
"Invalid webservice handler specified.","Ungültiger Webservice Handler angegeben."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Sektion"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rollen"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Benutzer"
"Unable to login.","Einloggen nicht möglich."
"User Name","Benutzername"
"WS-I Compliance","WS-I Übereinstimmung"
"Web Services","Webdienste"
"Your account has been deactivated.","Ihr Benutzerkonto wurde deaktiviert."
