"%s","%s"
"%s role is a special one and can\'t be changed.","Die %s-Rolle ist eine spezielle Rolle und kann nicht geändert werden."
"%s role is a special one and can\'t be deleted.","Die %s-Rolle ist eine spezielle Rolle und kann nicht gelöscht werden."
"%s role is protected.","Die %s-Rolle ist geschützt."
"ACL Attribute Rules","ACL Attributregeln"
"ACL Attributes Information","Information ACL Attribute"
"Add","Hinzufügen"
"Add Admin Role","Admin-Rolle hinzufügen"
"Add New Role","Neue Rolle hinzufügen"
"Address Type","Adressentyp"
"Admin","Admin"
"Allow","Erlauben"
"An error occurred while deleting the role.","Beim Löschen der Rolle ist ein Fehler aufgetreten."
"An error occurred while saving attribute rules.","Beim Speichern der Attributregeln ist ein Fehler aufgetreten."
"An error occurred while saving role.","Beim Speichern der Rolle ist ein Fehler aufgetreten."
"Api Rules Information","Information Api-Regeln"
"Assigned","Zugewiesen"
"Associate to Website","Mit der Webseite verbinden"
"Attribute Rules Information","Information Attributregeln"
"Attribute Set","Attributset"
"Attributes","Attribute"
"Automatically Return Credit Memo Item to Stock","Gutschriftartikel automatisch zum Lager retournieren"
"Back","Zurück"
"Backorders","Lieferückstand"
"Base Currency","Basiswährung"
"Base Customer Balance","Basis Kundensaldo"
"Base Discount","Basis Rabatt"
"Base Discount Amount","Basis Rabattbetrag"
"Base Item Subtotal","Basis Zwischensumme Artikel"
"Base Item Subtotal Including Tax","Basis Zwischensumme Artikel inkl. Steuern"
"Base Original Price","Basis Ausgangspreis"
"Base Price","Grundpreis"
"Base Price Including Tax","Basis Preis inkl. Steuern"
"Base Shipping","Basis Versand"
"Base Shipping Discount","Basis Versandrabatt"
"Base Shipping Tax","Basis Versandsteuer"
"Base Subtotal","Basis Zwischensumme"
"Base Subtotal Including Tax","Basis Zwischensumme inkl. Steuern"
"Base Tax Amount","Basis Steuerbetrag"
"Base Total Due","Basis fälliger Gesamtbetrag"
"Base Total Paid","Basis bezahlter Gesamtbetrag"
"Base Total Refunded","Basis rückerstatteter Gesamtbetrag"
"Buy Now URL","Jetzt kaufen-URL"
"Can Be Divided into Multiple Boxes for Shipping","Kann zum Versand auf mehrere Kartons aufgeteilt werden"
"Canceled Qty","Stornierte Anzahl"
"Catalog","Katalog"
"Catalog Product","Katalogprodukt"
"CatalogInventory","Kataloginventar"
"Category ID","Kategorie Ident.-Nr."
"City","Stadt"
"Company","Unternehmen"
"Country","Land"
"Coupon Code","Gutscheincode"
"Create","Erstellen"
"Create Permanent Redirect for old URL","Andauernde Umleitung für alte URL erstellen"
"Created From","Erstellt aus"
"Customer","Kunde"
"Customer Address","Kundenadresse"
"Customer Address ID","Kundenadresse ID"
"Customer Balance","Kundenguthaben"
"Customer First Name","Kunden-Vorname"
"Customer ID","Kundenidentifikationsbezeichnung"
"Customer Last Name","Nachname des Kunden"
"Customer Middle Name","Mittlerer Kundenname"
"Customer Prefix","Kundenpräfix"
"Customer Suffix","Kundensuffix"
"Default Image","Standardbild"
"Delete","Löschen"
"Deny","Verweigern"
"Disable automatic group change based on VAT ID","Automatischen Gruppenwechsel auf UID-Basis deaktivieren"
"Discount","Rabatt"
"Discount Amount","Rabattbetrag"
"Discount Description","Rabatt Beschreibung"
"Edit","Bearbeiten"
"Edit %s ACL attribute rules","%s ACL Attributregeln bearbeiten"
"Edit Role","Rolle bearbeiten"
"Edit attribute rules for %s Role","Attributregeln für %s-Rolle bearbeiten"
"Email","E-Mail"
"Enable Qty Increments","Anzahlzunahme aktivieren"
"Exclude","Auschließen"
"File Content","Dateiinhalt"
"File MIME Type","Datei MIME-Typ"
"File Name","Dateiname"
"Final Price With Tax","Endpreis inkl. Steuern"
