"Collected Files Count","Anzahl Gesammelte Dateien"
"Compilation","Kompilierung"
"Compilation State","Kompilierungsstatus"
"Compilation error","Kompilierungsfehler"
"Compiled","Kompiliert"
"Compiled Scopes Count","Compiled Scopes Count"
"Compiler Status","Compilerstatus"
"Compiler include path is disabled.","Compiler Includepfad ist deaktiviert."
"Compiler include path is enabled.","Compiler Includepfad ist aktiviert."
"Directory ""%s"" must be writeable","Verzeichnis ""%s"" muss beschreibbar sein"
"Disable","Deaktivieren"
"Disabled","Deaktiviert"
"Enable","Aktivieren"
"Enabled","Aktiviert"
"File ""%s"" must be writeable","Datei ""%s"" muss beschreibbar sein"
"Not Compiled","Nicht Kompiliert"
"Run Compilation Process","Kompilierungsprozess starten"
"Scopes Compilation Settings","Scopes Compilation Einstellungen"
"System","System"
"The compilation has completed.","Der Kompilierungsprozess ist abgeschlossen."
"Tools","Werkzeuge"
