"%s file does not exists or is not readable","Datei %s existiert nicht oder kann nicht gelesen werden"
"-- Please Select --","-- Bitte wählen --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter muss eine Anwendung von Mage_ImportExport_Model_Import_Adapter_Abstract sein"
"Adapter object must be an instance of %s","Adapter-Objekt muss eine Instanz von %s sein"
"Adapter type must be a non empty string","Adapter Typ muss eine nicht leere Zeichenfolge sein"
"Append Complex Data","Anhang komplexe Daten"
"Attribute Code","Attributcode"
"Attribute Label","Attributsbezeichnung"
"Attribute does not has options, so filtering is impossible","Attribute haben keine Optionen, Filtern ist daher nicht möglich."
"Begin data validation","Datenvalidierung beginnen"
"Begin export of %s","Export von %s beginnen"
"Begin import of ""%s"" with ""%s"" behavior","Import von ""%s"" mit ""%s""-Verhalten beginnen"
"CSV","CSV"
"Can not determine attribute filter type","Kann die Eigenschaften des Filter-Typs nicht erkennen"
"Can not find required columns: %s","Kann die benötigten Spalten nicht finden: %s"
"Cannot get autoincrement value","Autosteigerungswert kann nicht abgerufen werden."
"Check Data","Daten prüfen"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Überprüfte Zeilen: %d, überprüfte Entities: %d, ungültige Zeilen: %d, Fehler insgesamt: %d"
"Column names have duplicates","Die Spaltennamen haben Duplikate"
"Column names is empty or is not an array","Spaltennamen ist leer oder keine Reihe"
"Column names: ""%s"" are invalid","Spaltennamen: ""%s"" sind ungültig"
"Customers","Kunden"
"Data is invalid or file is not uploaded","Daten sind ungültig oder Datei ist nicht hochgeladen"
"Delete Entities","Entitäten löschen"
"Destination directory is not writable","Zielverzeichnis ist nicht beschreibbar"
"Destination file is not writable","Zieldatei ist nicht beschreibbar"
"Destination file path must be a string","Zieldatei-Pfad muss eine Reihe sein"
"Done import data validation","Abgeschlossene Import-Validierung"
"Duplicate Unique Attribute for '%s'","Verdoppeln Sie das einzigartige Attribut für '%s'"
"Entity Type","Entitätstyp"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entität-Adapterobjekt muss eine Instanz von  Mage_ImportExportModel_Export_Entity_Abstract sein."
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity-Adapter-Objekt muss eine Anwendung von Mage_ImportExport_Model_Import_Entity_Abstract sein"
"Entity is unknown","Entity ist unbekannt"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity-Modelltyp muss eine Anwendung von Mage_ImportExport_Model_Import_Entity_Abstract sein"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity-Modelltyp muss eine Anwendung von Mage_ImportExport_Model_Import_Entity_Abstract sein"
"Error in data structure: behaviors are mixed","Fehler in der Datenstruktur: Vorgehensweisen sind unterschiedlich"
"Error in data structure: entity codes are mixed","Fehler in der Datenstruktur: Entity-Codes sind unterschiedlich"
"Errors limit (%d) reached. Please fix errors and re-upload file","Fehlerlimit (%d) erreicht. Bitte Fehler beheben und die Datei neu hochladen."
"Export","Export"
"Export File Format","Export Dateiformat"
"Export Settings","Exporteinstellungen"
"Export has been done.","Export wurde ausgeführt"
"Exported %s rows.","%s Zeilen exportiert."
"File does not contain data.","Datei enthält keine Daten."
"File does not contain data. Please upload another one","Datei enthält keine Daten. Bitte laden Sie eine andere hoch"
"File format is unknown","Dateityp unbekannt"
"File is partially valid, but import is not possible","Datei ist teilweise gültig, Import ist aber nicht möglich"
"File is totally invalid. Please fix errors and re-upload file","Datei ist komplett ungültig. Bitte beheben Sie die Fehler und laden Sie sie erneut hoch"
"File is valid! To start import process press ""Import"" button","Datei ist gültig! Klicken Sie auf den Import-Button, um den Importvorgang zu starten."
"File is valid, but import is not possible","Datei ist gültig, Import ist aber nicht möglich"
"File was not uploaded","Datei wurde nicht hochgeladen"
"Filter","Filter"
"From","Von"
"Header column names already set","Spaltennamen in der Kopfzeile sind schon festgelegt."
"Import","Import"
"Import Behavior","Importverhalten"
"Import Settings","Importeinstellungen"
"Import has been done successfuly.","Import wurde erfolgreich ausgeführt."
"Import successfully done.","Import erfolgreich abgeschlossen."
"Import/Export","Import/Export"
"Input entity code is not equal to entity adapter code","Code der Eingabeeinheit entspricht nicht dem Adapter-Code der Einheit"
"Invalid entity","Ungültige Einheit"
"Invalid entity model","Ungültiges Entitätsmodell"
"Invalid file format","Ungültiger Dateityp"
"Invalid parameters","Ungültige Parameter"
"Invalid seek position","Ungültige Suchposition"
"Invalid value for '%s'","Ungültiger Wert für '%s'"
"Invalid value for '%s' column","Ungültiger Wert für Spalte '%s'"
"No filter data provided","Keine Filterdaten angegeben"
"No source specified","Keine Quelle angegeben"
"No valid data sent","Keine gültige Daten gesendet"
"No writer specified","Nicht Schreiber-spezifiziert"
"Node does not has model token tag","Knoten hat nicht das Schild des Modells"
"Not implemented yet","Noch nicht implementiert"
"Please fix errors and re-upload file","Bitte beheben Sie die Fehler und laden Sie erneut hoch"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Bitte beheben Sie die Fehler und laden Sie die Datei erneut hoch, oder betätigen Sie die ""Import""-Schaltfläche um Reihen mit Fehlern zu überspringen"
"Products","Produkte"
"Replace Existing Complex Data","Bereits vorhandene komplexe Daten ersetzen"
"Select File to Import","Datei für Import wählen"
"Skip","Überspringen"
"Source file moving failed","Verschieben der Quelldatei fehlgeschlagen"
"Source file path must be a string","Quelldateipfad muss ein String sein"
"Source is not set","Quelle ist nicht festgelegt"
"Status","Status"
"There are no product types available for export","Es sind keine Produkttypen für den Export verfügbar"
"There is no data for export","Es gibt keine Daten für den Export"
"To","Nach"
"Total size of uploadable files must not exceed %s","Gesamtgröße der hochzuladenden Dateien darf %s nicht übersteigen"
"Unknown attribute filter type","Unbekannter Attributfiltertyp"
"Uploaded file has no extension","Hochgeladene Datei hat keine Dateiendung"
"Validation finished successfully","Validierung erfolgreich beendet"
"in rows","in Zeilen"
"in rows:","in Zeilen:"
