"%name% '%value%' is too long. It must has length %min% symbols.","%Name% '%Wert%' ist zu lang. Es muss eine Länge von %min% Zeichen haben."
"%name% '%value%' is too short. It must has length %min% symbols.","%Name% '%Wert%' ist zu kurz. Es muss eine Länge von %min% Zeichen haben."
"* Required Fields","* Notwendige Felder"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> erfordert Zugriff auf Ihr Konto"
"Admin","Admin"
"After authorization application will have access to you account.","Nach der Autorisierungsanwendung haben Sie Zugriff auf Ihr Konto."
"An error occurred on confirm authorize.","Es ist ein Fehler beim Bestätigen der Autorisierung aufgetreten."
"An error occurred on delete action.","Es ist ein Fehler beim Löschen der Aktion aufgetreten."
"An error occurred on delete application.","Es ist ein Fehler beim Löschen der Applikation aufgetreten."
"An error occurred on reject authorize.","Es ist ein Fehler beim Ablehnen der Autorisierung aufgetreten."
"An error occurred on saving consumer data.","Es ist ein Fehler beim Speichern der Verbraucherdaten aufgetreten."
"An error occurred on update revoke status.","Es ist ein Fehler bei der Aktualuisierung des Widerruf-Status aufgetreten."
"An error occurred while deleting the consumer.","Es ist ein Fehler beim Löschen des Verbrauchers aufgetreten."
"An error occurred.","Es ist ein Fehler aufgetreten."
"An error occurred. Your authorization request is invalid.","Es ist ein Fehler aufgetreten. Ihre Autorisierungsanforderung ist ungültig."
"App Name","App Name"
"Application ""%s"" has been deleted.","Anwendung ""%s"" wurde entfernt."
"Application ""%s"" has been enabled.","Anwendung ""%s"" wurde aktiviert."
"Application ""%s"" has been revoked.","Anwendung ""%s"" wurde widerrufen."
"Application Name","Applikationsname"
"Application not found.","Anwendung nicht gefunden."
"Are you sure you want to delete this application?","Sind Sie sicher, dass Sie diese Anwendung entfernen möchten?"
"Are you sure you want to disable this application?","Sind Sie sicher, dass Sie diese Anwendung deaktivieren möchten?"
"Are you sure you want to enable this application?","Sind Sie sicher, dass Sie diese Anwendung aktivieren möchten?"
"Authorization confirmed","Autorisierung bestätigt"
"Authorization confirmed.","Zulassung bestätigt."
"Authorize","Autorisieren"
"Authorize application","Anwendung autorisieren"
"Authorized Tokens","Autorisierte Zeichen"
"Callback URL","Rückruf-URL"
"Cleanup Probability","Bereinigungswahrscheinlichkeit"
"Cleanup Settings","Einstellungen für das Bereinigen"
"Close","Schließen"
"Confirm OAuth token authorization","Bestätigen Sie OAuth Zeichen-Autorisierung"
"Confirm token authorization Pop Up for admin","Bestätigen Sie das gewählte Autorisierungs-Popup für Admin"
