"All Websites","Alle Webseiten"
"Apply Discounts To FPT","Rabatte auf FPT anwenden"
"Apply Tax To FPT","Steuer auf FPT anwenden"
"Display Prices In Emails","Preise in E-Mails anzeigen"
"Display Prices In Product Lists","Preise in Produktlisten anzeigen"
"Display Prices In Sales Modules","Preise in Verkaufsmdulen anzeigen"
"Display Prices On Product View Page","Preise auf der Produktansichtseite anzeigen"
"Enable FPT","FPT aktivieren"
"Excluding FPT","Ausschließlich FPT"
"Excluding FPT, FPT description, final price","Ausschließlich FPT, FPT-Beschreibung, Endpreis"
"FPT Tax Configuration","Steuer-Konfiguration für Festpreis-Offerten"
"Fixed Product Tax","Feste Produktsteuer"
"Fixed Product Taxes","Feste Produktsteuern"
"Include FPT In Subtotal","FPT in Zwischensumme einschließen"
"Including FPT and FPT description","Einschließlich FPT und FPT-Beschreibung"
"Including FPT and FPT description [incl. FPT VAT]","Einschließlich FPT und FPT-Beschreibung [inkl. FPT-MwSt]"
"Including FPT only","Lediglich einschließlich FPT"
"Loaded and Displayed with Tax","Geladen und mit Steuer angezeigt"
"Not Taxed","Nicht besteuert"
"Taxed","Besteuert"
"Total","Gesamtbetrag"
"Total Incl. Tax","Gesamtbetrag inkl. Steuer"
"Total excl. tax","Gesamtbetrag exkl. Steuern"
"Total incl. tax","Gesamtbetrag inkl. Mehrwertsteuer"
"Total:","Gesamt:"
