"Actions","Actions"
"Are you sure?","Are you sure?"
"Date Added","Date Added"
"Error while marking as read. Please try again later.","Error while marking as read. Please try again later."
"Error while marking. Please try again later.","Error while marking. Please try again later."
"Error while removing. Please try again later.","Error while removing. Please try again later."
"Last update","Last update"
"Mark as Read","Mark as Read"
"Mark as read","Mark as read"
"Message","Message"
"Message was successfully marked as read","Message was successfully marked as read"
"Message was successfully removed","Message was successfully removed"
"Messages Inbox","Messages Inbox"
"Notifications","Notifications"
"Please select messages","Please select messages"
"Read Details","Read Details"
"Remove","Remove"
"Severity","Severity"
"Show List","Show List"
"Show Toolbar","Show Toolbar"
"Total of %d record(s) were successfully marked as read","Total of %d record(s) were successfully marked as read"
"Total of %d record(s) were successfully removed","Total of %d record(s) were successfully removed"
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Update frequency","Update frequency"
"Use HTTPS to get feed","Use HTTPS to get feed"
"critical","critical"
"major","major"
"minor","minor"
"notice","notice"
