" and "," and "
" note that the URLs provided below are the correct values for your current website): "," note that the URLs provided below are the correct values for your current website): "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute path or Relative to Magento install root, ex. var/export)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t for tab)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"About the calendar","About the calendar"
"Access denied.","Access denied."
"Account Created in:","Account Created in:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created on:","Account Created on:"
"Action","Action"
"Actions","Actions"
"Activate","Activate"
"Add Contents Path","Add Contents Path"
"Add Field with URL:","Add Field with URL:"
"Add More Templates","Add More Templates"
"Add New Role","Add New Role"
"Add New User","Add New User"
"Add PHP Extension dependency","Add PHP Extension dependency"
"Add Package dependency","Add Package dependency"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Address Type:","Address Type:"
"AirMail Template Preview","AirMail Template Preview"
"All","All"
"All Websites","All Websites"
"All fields","All fields"
"Apply Theme","Apply Theme"
"Archive file name:","Archive file name:"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip tags?","Are you sure that you want to strip tags?"
"As low as:","As low as:"
"Attribute Set Name:","Attribute Set Name:"
"Attributes","Attributes"
"Authors","Authors"
"Available Products","Available Products"
"Back","Back"
"Big Image","Big Image"
"Billing Address","Billing Address"
"Billing Agreement","Billing Agreement"
"Bundle Items","Bundle Items"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"CSV / Tab separated","CSV / Tab separated"
"Cancel URL: ","Cancel URL: "
"Card Verification Number","Card Verification Number"
"Carrier","Carrier"
"Catalog","Catalog"
"Chairs","Chairs"
"Change Orientation","Change Orientation"
"Channel","Channel"
"Child Transactions","Child Transactions"
"Choose Store View","Choose Store View"
"Choose a selection...","Choose a selection..."
"Clear","Clear"
"Client Session Timeout (sec.)","Client Session Timeout (sec.)"
"Close","Close"
"Comments History","Comments History"
"Confirmed email:","Confirmed email:"
"Connect with the Magento Community","Connect with the Magento Community"
"Contents","Contents"
"Continue","Continue"
"Country:","Country:"
"Created At","Created At"
"Credit Card %s","Credit Card %s"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Current Configuration Scope:","Current Configuration Scope:"
"Custom","Custom"
"Custom Colors","Custom Colors"
"Customer","Customer"
"Customer Group:","Customer Group:"
"Customer Since:","Customer Since:"
"Customers","Customers"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Dashboard","Dashboard"
"Data Format","Data Format"
"Data transfer:","Data transfer:"
"Date selection:","Date selection:"
"Date selector","Date selector"
"Decimal separator:","Decimal separator:"
"Default (Admin) Values","Default (Admin) Values"
"Default Billing Address","Default Billing Address"
"Default Response Charset","Default Response Charset"
"Default Values","Default Values"
"Delete","Delete"
"Direction:","Direction:"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout."
"Drag to move","Drag to move"
"Edit Filter","Edit Filter"
"Edit Role","Edit Role"
"Edit User '%s'","Edit User '%s'"
"Email","Email"
"Email Preview","Email Preview"
"Email:","Email:"
"Enable Secure Token:","Enable Secure Token:"
"Enclose Values In:","Enclose Values In:"
"Entity Attributes","Entity Attributes"
"Entity type:","Entity type:"
"Excl. Tax","Excl. Tax"
"Expiration Date","Expiration Date"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Export","Export"
"Export FAQ","Export FAQ"
"Export Filters","Export Filters"
"Export to:","Export to:"
"Export:","Export:"
"Extension","Extension"
"Extensions","Extensions"
"FILTERS APPLIED","FILTERS APPLIED"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Field Mapping"
"File Information","File Information"
"File name:","File name:"
"Files","Files"
"Final Price","Final Price"
"Finished profile execution.","Finished profile execution."
"First Name:","First Name:"
"For latest version visit: %s","For latest version visit: %s"
"From","From"
"General Information","General Information"
"General Settings","General Settings"
"Get help for this page","Get help for this page"
"Global Record Search","Global Record Search"
"Go Today","Go Today"
"Go to messages inbox","Go to messages inbox"
"Go to notifications","Go to notifications"
"Google Base Items","Google Base Items"
"Group:","Group:"
"Help Us Keep Magento Healthy - Report All Bugs","Help Us Keep Magento Healthy - Report All Bugs"
"Home","Home"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website."
"Ignore","Ignore"
"Images","Images"
"Import","Import"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export FAQ (Frequently Asked Questions)"
"Import FAQ","Import FAQ"
"Import Service","Import Service"
"Important: ","Important: "
"In Database:","In Database:"
"In File:","In File:"
"In Stock","In Stock"
"Inactive Tabs","Inactive Tabs"
"Incl. Tax","Incl. Tax"
"Include","Include"
"Interactive","Interactive"
"Interface Locale: %s","Interface Locale: %s"
"Invalid webservice adapter specified.","Invalid webservice adapter specified."
"Invalid webservice handler specified.","Invalid webservice handler specified."
"Invoice History","Invoice History"
"Invoice Totals","Invoice Totals"
"Is Closed","Is Closed"
"Issue Number","Issue Number"
"Issuer: %s","Issuer: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Last 5 Orders","Last 5 Orders"
"Last 5 Search Terms","Last 5 Search Terms"
"Last Logged In (%s):","Last Logged In (%s):"
"Last Logged In:","Last Logged In:"
"Last Name:","Last Name:"
"Latest Message:","Latest Message:"
"Leave empty to use tax identifier","Leave empty to use tax identifier"
"Links with associated products will retain only after saving current product.","Links with associated products will retain only after saving current product."
"Loading...","Loading..."
"Local Server","Local Server"
"Local/Remote Server","Local/Remote Server"
"Log In","Log In"
"Log Out","Log Out"
"Logged in as %s","Logged in as %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api Section"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","Main Tabs"
"Make Inactive","Make Inactive"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI)."
