"--Please Select--","--Please Select--"
"API Login ID","API Login ID"
"Accepted Currency","Accepted Currency"
"Card Verification Number","Card Verification Number"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Close","Close"
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Debug","Debug"
"Email Customer","Email Customer"
"Enabled","Enabled"
"Expiration Date","Expiration Date"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximum Order Total"
"Merchant's Email","Merchant's Email"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"Order saving error: %s","Order saving error: %s"
"Payment Action","Payment Action"
"Payment authorization error.","Payment authorization error."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Sort Order"
"Test Mode","Test Mode"
"The order has been created.","The order has been created."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Title","Title"
"Transaction Key","Transaction Key"
"What is this?","What is this?"
