"Action","Action"
"Backup file ""%s"" can\'t read or write","Backup file ""%s"" can\'t read or write"
"Backup file ""%s"" doesn\'t exist","Backup file ""%s"" doesn\'t exist"
"Backup file doesn't exist","Backup file doesn't exist"
"Backup file handler don\'t specify","Backup file handler don\'t specify"
"Backup file path don\'t specify","Backup file path don\'t specify"
"Backups","Backups"
"Cannot read backup file","Cannot read backup file"
"Create Backup","Create Backup"
"DB","DB"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Download"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","File compressed with Zlib, but this extension is not installed on server"
"Size, byte","Size, byte"
"Time","Time"
"Type","Type"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","Wrong order of creation for new backup"
