"--Select--","--Select--"
"Add New Option","Add New Option"
"Add Selection","Add Selection"
"As low as","As low as"
"Bundle Items","Bundle Items"
"Bundle Product","Bundle Product"
"Buy %1$s with %2$s discount each","Buy %1$s with %2$s discount each"
"Checkbox","Checkbox"
"Choose a selection...","Choose a selection..."
"Close","Close"
"Default","Default"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Drop-down"
"Dynamic","Dynamic"
"Fixed","Fixed"
"From","From"
"From:","From:"
"Gift Message","Gift Message"
"Input Type","Input Type"
"Is Required","Is Required"
"Message:","Message:"
"Multiple Select","Multiple Select"
"N/A","N/A"
"No options of this product are available.","No options of this product are available."
"None","None"
"Percent","Percent"
"Percent Discount","Percent Discount"
"Please enter search conditions to view products.","Please enter search conditions to view products."
"Please select options for product.","Please select options for product."
"Please select products to add","Please select products to add"
"Please specify product option(s)","Please specify product option(s)"
"Position","Position"
"Price Range","Price Range"
"Price Type","Price Type"
"Qty:","Qty:"
"Radio Buttons","Radio Buttons"
"Required options not selected.","Required options not selected."
"Selected required options not available.","Selected required options not available."
"Separately","Separately"
"Ship Bundle Items","Ship Bundle Items"
"Shipment","Shipment"
"Store View Title","Store View Title"
"There is no defined renderer for ""%s"" option type","There is no defined renderer for ""%s"" option type"
"This product is also part of bundle(s)","This product is also part of bundle(s)"
"To","To"
"To:","To:"
"Together","Together"
"User Defined Qty","User Defined Qty"
