"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Card Issuer Liability"
"Enrolled","Enrolled"
"Enrolled but Authentication Unavailable","Enrolled but Authentication Unavailable"
"Failed","Failed"
"Merchant Liability","Merchant Liability"
"Not Enrolled","Not Enrolled"
"Order cannot be placed.","Order cannot be placed."
"Payment information error. Please start over.","Payment information error. Please start over."
"Please continue with placing order.","Please continue with placing order."
"Please verify the card with the issuer bank before placing the order.","Please verify the card with the issuer bank before placing the order."
"Start/Reset Validation...","Start/Reset Validation..."
"Successful","Successful"
"Successful attempt","Successful attempt"
"The card has failed verification with issuer bank.","The card has failed verification with issuer bank."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","There has been wrong payment information submitted or time limit has expired. Please, try again."
"This card has failed validation and cannot be used.","This card has failed validation and cannot be used."
"This card has failed validation, but it is possible to place the order.","This card has failed validation, but it is possible to place the order."
"Unable to complete","Unable to complete"
"Validation failed.","Validation failed."
"Verification Failed","Verification Failed"
"Verification Successful","Verification Successful"
"Verification can not be processed","Verification can not be processed"
