"Accepted Currency","Accepted Currency"
"An error has occurred","An error has occurred"
"An error occurred during paying process.","An error occurred during paying process."
"An error occurred during the paying process.","An error occurred during the paying process."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"CGI URL","CGI URL"
"Card Verification Number","Card Verification Number"
"ChronoPay Gateway","ChronoPay Gateway"
"ChronoPay Standard","ChronoPay Standard"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Credit Card Types"
"Customer Interface Language","Customer Interface Language"
"Debug","Debug"
"Dutch","Dutch"
"Enabled","Enabled"
"English","English"
"Expiration Date","Expiration Date"
"Gateway request error: %s","Gateway request error: %s"
"German","German"
"Invalid operation code.","Invalid operation code."
"Invalid response format.","Invalid response format."
"Name on Card","Name on Card"
"Name on the Card: %s","Name on the Card: %s"
"New Order Status","New Order Status"
"Order #%s","Order #%s"
"Order number will be used if left empty.","Order number will be used if left empty."
"Payment Action","Payment Action"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Please Select","Please Select"
"Product ID","Product ID"
"Russian","Russian"
"Shared Secret","Shared Secret"
"Site ID","Site ID"
"Sort Order","Sort Order"
"Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin.","Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin."
"The customer has successfully returned from Chronopay.","The customer has successfully returned from Chronopay."
"The customer was redirected to Chronopay.","The customer was redirected to Chronopay."
"The selected currency code (%s) is not compatible with ChronoPay.","The selected currency code (%s) is not compatible with ChronoPay."
"The transaction ID is invalid.","The transaction ID is invalid."
"Title","Title"
"Transaction Description","Transaction Description"
"What is this?","What is this?"
"You will be redirected to ChronoPay in a few seconds.","You will be redirected to ChronoPay in a few seconds."
"You will be redirected to Chronopay website when you place an order.","You will be redirected to Chronopay website when you place an order."
