"Action","Action"
"Add New Block","Add New Block"
"Add New Page","Add New Page"
"All countries","All countries"
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","Are you sure you want to delete current folder?"
"Are you sure you want to delete the selected file?","Are you sure you want to delete the selected file?"
"Block","Block"
"Block Information","Block Information"
"Block Title","Block Title"
"Block was successfully deleted","Block was successfully deleted"
"Block was successfully saved","Block was successfully saved"
"CMS","CMS"
"CMS Home Page","CMS Home Page"
"CMS No Cookies Page","CMS No Cookies Page"
"CMS No Route Page","CMS No Route Page"
"CMS No-Route Page","CMS No-Route Page"
"CMS Page","CMS Page"
"CMS Page Link","CMS Page Link"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","CMS Pages (All)"
"CMS Static Block","CMS Static Block"
"CMS Static Block Default Template","CMS Static Block Default Template"
"Cannot create new directory","Cannot create new directory"
"Cannot delete directory %s","Cannot delete directory %s"
"Cannot delete root directory %s","Cannot delete root directory %s"
"Cannot upload file","Cannot upload file"
"Collapse All","Collapse All"
"Content","Content"
"Content Heading","Content Heading"
"Content Management","Content Management"
"Contents of a Static Block","Contents of a Static Block"
"Create Folder...","Create Folder..."
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout","Custom Layout"
"Custom Layout Update XML","Custom Layout Update XML"
"Custom Theme","Custom Theme"
"Customer Tax Class Information","Customer Tax Class Information"
"Date Created","Date Created"
"Delete Block","Delete Block"
"Delete File","Delete File"
"Delete Folder","Delete Folder"
"Delete Page","Delete Page"
"Description","Description"
"Design","Design"
"Directory %s is not writable by server","Directory %s is not writable by server"
"Disabled","Disabled"
"Disabled Completely","Disabled Completely"
"Disabled by Default","Disabled by Default"
"Edit Block","Edit Block"
"Edit Block '%s'","Edit Block '%s'"
"Edit Page","Edit Page"
"Edit Page '%s'","Edit Page '%s'"
"Enable WYSIWYG editor","Enable WYSIWYG editor"
"Enabled","Enabled"
"Enabled by Default","Enabled by Default"
"Error while saving Page. Please try again later.","Error while saving Page. Please try again later."
"Expand All","Expand All"
"General Information","General Information"
"Go to Home Page","Go to Home Page"
"Home","Home"
"ID","ID"
"Identifier","Identifier"
"If empty, the Page Title will be used","If empty, the Page Title will be used"
"Images (%s)","Images (%s)"
"Insert File","Insert File"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Invalid folder name. Please, use alphanumeric characters, underscores and dashes."
"Keywords","Keywords"
"Last Modified","Last Modified"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Link to a CMS Page","Link to a CMS Page"
"Manage Pages","Manage Pages"
"Media Storage","Media Storage"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"New Block","New Block"
"New Folder Name:","New Folder Name:"
"New Page","New Page"
"No files found","No files found"
"Page Information","Page Information"
"Page Layout","Page Layout"
"Page Status","Page Status"
"Page Title","Page Title"
"Page URL Key cannot consist only of numbers.","Page URL Key cannot consist only of numbers."
"Page URL Key for specified store already exist.","Page URL Key for specified store already exist."
"Page was successfully deleted","Page was successfully deleted"
"Page was successfully saved","Page was successfully saved"
"Pages","Pages"
"Product Tax Class Information","Product Tax Class Information"
"Redirect to CMS-page if cookies are disabled","Redirect to CMS-page if cookies are disabled"
"Relative to Website Base URL","Relative to Website Base URL"
"Save Block","Save Block"
"Save Page","Save Page"
"Select Block...","Select Block..."
"Select Page...","Select Page..."
"Show breadcrumbs for CMS pages","Show breadcrumbs for CMS pages"
"Show notice if JavaScript is disabled","Show notice if JavaScript is disabled"
"Static Blocks","Static Blocks"
"Status","Status"
"Storage Root","Storage Root"
"Store View","Store View"
"Such a block identifier in selected store already exist.","Such a block identifier in selected store already exist."
"Such directory already exists. Try another folder name","Such directory already exists. Try another folder name"
"Template","Template"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This Block no longer exists","This Block no longer exists"
"This block no longer exists","This block no longer exists"
"This page no longer exists","This page no longer exists"
"Title","Title"
"URL Key","URL Key"
"Unable to find a block to delete","Unable to find a block to delete"
"Unable to find a page to delete","Unable to find a page to delete"
"WYSIWYG Options","WYSIWYG Options"
"px.","px."
