"Collected Files Count","Collected Files Count"
"Compilation","Compilation"
"Compilation State","Compilation State"
"Compilation error","Compilation error"
"Compiled","Compiled"
"Compiled Scopes Count","Compiled Scopes Count"
"Compiler Status","Compiler Status"
"Compiler include path is disabled.","Compiler include path is disabled."
"Compiler include path is enabled.","Compiler include path is enabled."
"Directory ""%s"" must be writeable","Directory ""%s"" must be writeable"
"Disable","Disable"
"Disabled","Disabled"
"Enable","Enable"
"Enabled","Enabled"
"File ""%s"" must be writeable","File ""%s"" must be writeable"
"Not Compiled","Not Compiled"
"Please, press disable button before run compilation process","Please, press disable button before run compilation process"
"Run Compilation Process","Run Compilation Process"
"Scopes Compilation Settings","Scopes Compilation Settings"
"System","System"
"The compilation has completed.","The compilation has completed."
"Tools","Tools"
