"-- Please Select --","-- Please Select --"
"Add to Cart","Add to Cart"
"Choose an Option...","Choose an Option..."
"Configurable Swatches","Configurable Swatches"
"Enabled","Enabled"
"General Settings","General Settings"
"Height","Height"
"In Stock","In Stock"
"Innermost dimensions, not including border, in pixels","Innermost dimensions, not including border, in pixels"
"Out of Stock","Out of Stock"
"Previous","Previous"
"Product Attribute to Use for Swatches in Product Listing","Product Attribute to Use for Swatches in Product Listing"
"Product Attributes to Show as Swatches in Product Detail","Product Attributes to Show as Swatches in Product Detail"
"Remove This Item","Remove This Item"
"Swatch Dimensions in Layered Navigation","Swatch Dimensions in Layered Navigation"
"Swatch Dimensions in Product Listing","Swatch Dimensions in Product Listing"
"Swatch Dimensions on Product Detail Page","Swatch Dimensions on Product Detail Page"
"Width","Width"
