"%s","%s"
"%s already exist","%s already exist"
"%s already exists","%s already exists"
"-- Please Select --","-- Please Select --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Advanced"
"Allow countries","Allow countries"
"Allowed IPs (comma separated)","Allowed IPs (comma separated)"
"Allows Customers to stay logged in when switching between different Stores.","Allows Customers to stay logged in when switching between different Stores."
"Alternative text for Next Link in pagination menu. If empty, default arrow image will used","Alternative text for Next Link in pagination menu. If empty, default arrow image will used"
"Alternative text for Previous link in pagination menu. If empty, default arrow image will used","Alternative text for Previous link in pagination menu. If empty, default arrow image will used"
"Anchor Text for Next","Anchor Text for Next"
"Anchor Text for Previous","Anchor Text for Previous"
"Are you sure?","Are you sure?"
"Back","Back"
"Backup options","Backup options"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Before modifying the store view code please make sure that it is not used in index.php","Before modifying the store view code please make sure that it is not used in index.php"
"Before modifying the website code please make sure that it is not used in index.php","Before modifying the website code please make sure that it is not used in index.php"
"Block with name ""%s"" already exists","Block with name ""%s"" already exists"
"Browser Capabilities Detection","Browser Capabilities Detection"
"CSS Settings","CSS Settings"
"Cache Storage Management","Cache Storage Management"
"Cache storage can contain another data. Are you sure that you want flush it?","Cache storage can contain another data. Are you sure that you want flush it?"
"Can't retrieve request object","Can't retrieve request object"
"Can\'t retrieve entity config: %s","Can\'t retrieve entity config: %s"
"Cancel","Cancel"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Card type doesn\'t match credit card number","Card type doesn\'t match credit card number"
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Code"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Copyright","Copyright"
"Countries options","Countries options"
"Create Store","Create Store"
"Create Store View","Create Store View"
"Create Website","Create Website"
"Credit card number doesn\'t match credit card type","Credit card number doesn\'t match credit card type"
"Current package name","Current package name"
"Custom Design","Custom Design"
"Custom Variables","Custom Variables"
"Custom admin URL","Custom admin URL"
"Custom email 1","Custom email 1"
"Custom email 2","Custom email 2"
"Customer support","Customer support"
"Date From","Date From"
"Date To","Date To"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","Default"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","Default Pages"
"Default Robots","Default Robots"
"Default Store","Default Store"
"Default Store View","Default Store View"
"Default Title","Default Title"
"Default country","Default country"
"Default no-route url","Default no-route url"
"Default web url","Default web url"
"Delete","Delete"
"Delete Store","Delete Store"
"Delete Store View","Delete Store View"
"Delete Website","Delete Website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Design"
"Design Change","Design Change"
"Developer","Developer"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable email communications","Disable email communications"
"Disable modules output","Disable modules output"
"Display demo store notice","Display demo store notice"
"Duplicate Of Template Name","Duplicate Of Template Name"
"Edit Design Change","Edit Design Change"
