"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Daily"
"Failure history lifetime","Failure history lifetime"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"History cleanup every","History cleanup every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","Missed if not run within"
"Monthly","Monthly"
"No callbacks found","No callbacks found"
"Schedule ahead for","Schedule ahead for"
"Success history lifetime","Success history lifetime"
"Too late for the schedule","Too late for the schedule"
"Unable to save Cron expression","Unable to save Cron expression"
"Unknown error","Unknown error"
"Weekly","Weekly"
