"connect-src","connect-src"
"Convert meta CSP to HTTP headers","Convert meta CSP to HTTP headers"
"CSP protection","CSP protection"
"CSP Protection","CSP Protection"
"CSP protection Admin","CSP protection Admin"
"CSP protection Frontend","CSP protection Frontend"
"default-src","default-src"
"font-src","font-src"
"form-action","form-action"
"frame-src","frame-src"
"img-src","img-src"
"media-src","media-src"
"object-src","object-src"
"Report Only","Report Only"
"Report URI","Report URI"
"script-src","script-src"
"Split Headers","Split Headers"
"style-src","style-src"
