"API Gateway URL","API Gateway URL"
"Accepted currency","Accepted currency"
"Card Verification Number","Card Verification Number"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Customer ID","Customer ID"
"Customer successfully returned from eWAY","Customer successfully returned from eWAY"
"Customer was redirected to eWAY.","Customer was redirected to eWAY."
"Customer was rejected by eWAY","Customer was rejected by eWAY"
"Debug Flag","Debug Flag"
"Enabled","Enabled"
"Error occured","Error occured"
"Expiration Date","Expiration Date"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Name on Card","Name on Card"
"Name on the Card: %s","Name on the Card: %s"
"New order status","New order status"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Please Select","Please Select"
"Selected currency code (","Selected currency code ("
"Sort order","Sort order"
"There has been an error processing your payment.","There has been an error processing your payment."
"There has been an error processing your payment. Please try later or contact us for help.","There has been an error processing your payment. Please try later or contact us for help."
"Title","Title"
"Use Beagle Anti-Fraud","Use Beagle Anti-Fraud"
"What is this?","What is this?"
"You will be redirected to eWAY 3D-Secure in a few seconds.","You will be redirected to eWAY 3D-Secure in a few seconds."
"You will be redirected to eWAY 3D-Secure website when you place an order.","You will be redirected to eWAY 3D-Secure website when you place an order."
"You will be redirected to eWAY in a few seconds.","You will be redirected to eWAY in a few seconds."
"You will be redirected to eWAY website when you place an order.","You will be redirected to eWAY website when you place an order."
"eWAY 3D-Secure","eWAY 3D-Secure"
"eWAY Direct","eWAY Direct"
"eWAY Shared","eWAY Shared"
