"Account Number","Account Number"
"Container ID","Container ID"
"Enable","Enable"
"Google API","Google API"
"Google Analytics","Google Analytics"
"Google Tag Manager","Google Tag Manager"
"Type","Type"
"Google Analytics 4","Google Analytics 4"
"Enable GA4 User_id tracking for logged in customers.","Enable GA4 User_id tracking for logged in customers."
"Enable GA4 Debug Real Time view for Development IP.","Enable GA4 Debug Real Time view for Development IP."
"User ID tracking","User ID tracking"
