"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"3 Day Select","3 Day Select"
"Allowed Methods","Allowed Methods"
"Commercial","Commercial"
"Credit memo has been created automatically","Credit memo has been created automatically"
"Debug","Debug"
"Enable","Enable"
"Express Saver","Express Saver"
"FedEx","FedEx"
"First Overnight","First Overnight"
"Free Shipping","Free Shipping"
"Google API","Google API"
"Google Checkout has been deprecated.","Google Checkout has been deprecated."
"Ground","Ground"
"Home Delivery","Home Delivery"
"Inches","Inches"
"Location","Location"
"Media Mail","Media Mail"
"Merchant ID","Merchant ID"
"New Order Status","New Order Status"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Saver","Next Day Air Saver"
"No","No"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Residential","Residential"
"Standard Overnight","Standard Overnight"
"Title","Title"
"UPS","UPS"
"USPS","USPS"
"Yes","Yes"
