"Absolute path to private certificate file","Absolute path to private certificate file"
"Absolute path to private key file","Absolute path to private key file"
"Absolute path to public payment provider certificate file","Absolute path to public payment provider certificate file"
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. Transaction number is %s.","An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. Transaction number is %s."
"Begin to check transaction status if order was made {N} hours ago","Begin to check transaction status if order was made {N} hours ago"
"Check Begin","Check Begin"
"Check End","Check End"
"Customer canceled payment.","Customer canceled payment."
"Customer cancelled payment","Customer cancelled payment"
"Customer successfully returned from iDEAL","Customer successfully returned from iDEAL"
"Customer was redirected to iDEAL","Customer was redirected to iDEAL"
"Customer was redirected to iDEAL. Please, check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Customer was redirected to iDEAL. Please, check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased."
"Customer was rejected by iDEAL","Customer was rejected by iDEAL"
"Customer was returned from iDEAL.","Customer was returned from iDEAL."
"Debug","Debug"
"Don't check transaction status if order older than {N} days","Don't check transaction status if order older than {N} days"
"Dutch","Dutch"
"Enabled","Enabled"
"English","English"
"Error occured","Error occured"
"Error occured with transaction %s.","Error occured with transaction %s."
"Error occured. You will be redirected back to store.","Error occured. You will be redirected back to store."
"Ideal: %s","Ideal: %s"
"In minutes. Minimum is 1 minute and maximum is 60.","In minutes. Minimum is 1 minute and maximum is 60."
"Issuer","Issuer"
"Issuer: %s","Issuer: %s"
"Language","Language"
"Leave empty for default value","Leave empty for default value"
"Merchant ID","Merchant ID"
"Merchant Key","Merchant Key"
"New order status","New order status"
"Notification from iDEAL was recived with status %s.","Notification from iDEAL was recived with status %s."
"Notification from iDEAL was recived with status %s. Invoice was created. Please, check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Notification from iDEAL was recived with status %s. Invoice was created. Please, check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased."
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Payment was canceled by customer","Payment was canceled by customer"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Please Select","Please Select"
"Private Certificate","Private Certificate"
"Private Key","Private Key"
"Private Key Password","Private Key Password"
"Required fields missing","Required fields missing"
"Secure URL (production)","Secure URL (production)"
"Secure URL (test mode)","Secure URL (test mode)"
"Selected currency code (%s) is not compatible with iDEAL","Selected currency code (%s) is not compatible with iDEAL"
"Sort order","Sort order"
"Store name will be used if left empty","Store name will be used if left empty"
"Test Mode","Test Mode"
"Title","Title"
"Transaction Description","Transaction Description"
"Transaction Expire Period","Transaction Expire Period"
"Transaction Status Update: cancelled by customer","Transaction Status Update: cancelled by customer"
"Transaction Status Update: finished successfully","Transaction Status Update: finished successfully"
"Transaction Status Update: rejected by iDEAL","Transaction Status Update: rejected by iDEAL"
"You will be redirected to bank in a few seconds.","You will be redirected to bank in a few seconds."
"You will be redirected to iDEAL in a few seconds.","You will be redirected to iDEAL in a few seconds."
"You will be redirected to website of your bank when you place an order.","You will be redirected to website of your bank when you place an order."
"iDEAL Advanced","iDEAL Advanced"
"iDEAL Basic","iDEAL Basic"
"iDEAL Certificate","iDEAL Certificate"
