"%s Index proces is working now. Please try run this process later.","%s Index proces is working now. Please try run this process later."
"%s index was rebuilt successfully.","%s index was rebuilt successfully."
"'%s' Index Process Information","'%s' Index Process Information"
"Action","Action"
"Can\'t initialize indexer process.","Can\'t initialize indexer process."
"Change Index Mode","Change Index Mode"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes."
"Description","Description"
"Disable","Disable"
"Enable","Enable"
"General","General"
"Index","Index"
"Index Description","Index Description"
"Index Management","Index Management"
"Index Mode","Index Mode"
"Index Name","Index Name"
"Index mode","Index mode"
"Index was saved successfully.","Index was saved successfully."
"Indexer code is not defined.","Indexer code is not defined."
"Indexer model is not defined.","Indexer model is not defined."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model should extend Mage_Index_Model_Indexer_Abstract."
"Last Run","Last Run"
"Manual Update","Manual Update"
"Mode","Mode"
"Never","Never"
"One or more of the Indexes are not up to date:","One or more of the Indexes are not up to date:"
"Pending Events","Pending Events"
"Please select Index(es)","Please select Index(es)"
"Please select Indexes","Please select Indexes"
"Process Information","Process Information"
"Processing","Processing"
"Ready","Ready"
"Refresh","Refresh"
"Reindex Data","Reindex Data"
"Reindex Required","Reindex Required"
"Some problem with reindexing process.","Some problem with reindexing process."
"Some problem with saving process.","Some problem with saving process."
"Status","Status"
"System","System"
"Total of %d index(es) have successfully reindexed data","Total of %d index(es) have successfully reindexed data"
"Total of %d index(es) were successfully changed index mode","Total of %d index(es) were successfully changed index mode"
"Update on Save","Update on Save"
