"
                                Use in posting data from Magento to Ogone. <br/>
                                Use in data checking by Ogone before the payment.
                            ","
                                Use in posting data from Magento to Ogone. <br/>
                                Use in data checking by Ogone before the payment.
                            "
"
                                Use in posting data from Ogone to Magento. <br/>
                                Use in Feedback data checking by Magento
                            ","
                                Use in posting data from Ogone to Magento. <br/>
                                Use in Feedback data checking by Magento
                            "
"Authorization","Authorization"
"Authorization Waiting from Ogone","Authorization Waiting from Ogone"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Authorization not known: A technical problem arose during authorization process, giving unpredictable result"
"Background color of Ogone Template","Background color of Ogone Template"
"Button background color of the Ogone Template","Button background color of the Ogone Template"
"Button text color of the Ogone Template","Button text color of the Ogone Template"
"Cancelled Ogone","Cancelled Ogone"
"Debug","Debug"
"Declined Ogone","Declined Ogone"
"Declined Order on ogone side","Declined Order on ogone side"
"Direct Sale","Direct Sale"
"Enabled","Enabled"
"Exception not defined","Exception not defined"
"Font Family of the Ogone Template","Font Family of the Ogone Template"
"For production, replace ""test"" with ""prod"" Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","For production, replace ""test"" with ""prod"" Example: https://secure.ogone.com/ncol/prod/orderstandard.asp"
"Gateway URL","Gateway URL"
"Hash is not valid","Hash is not valid"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"If you choose ""No Operation"", Ogone will use default Payment procedure setup in Ogone configuration","If you choose ""No Operation"", Ogone will use default Payment procedure setup in Ogone configuration"
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","If you choose ""Ogone Template"", you will need to fill in all the following fields."
"Layout of Payment Methods","Layout of Payment Methods"
"Logo of the Ogone Template","Logo of the Ogone Template"
"Magento","Magento"
"Ogone","Ogone"
"Ogone default Operation","Ogone default Operation"
"Order can not be canceled for system reason","Order can not be canceled for system reason"
"Order can not be save for system reason","Order can not be save for system reason"
"Order can\'t save","Order can\'t save"
"Order canceled on ogone side","Order canceled on ogone side"
"Order is not valid","Order is not valid"
"PSPID","PSPID"
"Payment Action","Payment Action"
"Payment Template","Payment Template"
"Payment transaction has been declined.","Payment transaction has been declined."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","Payment uncertain: A technical problem arose during payment process, giving unpredictable result"
"Pending Ogone","Pending Ogone"
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds."
"Processed Ogone Payment","Processed Ogone Payment"
"Processed by Ogone","Processed by Ogone"
"Processing Ogone Payment","Processing Ogone Payment"
"SHA Signature (used by Magento)","SHA Signature (used by Magento)"
"SHA Signature (used by Ogone)","SHA Signature (used by Ogone)"
"Start ogone processing","Start ogone processing"
"Table background color of the Ogone Template","Table background color of the Ogone Template"
"Table text color of the Ogone Template","Table text color of the Ogone Template"
"Text Color of the Ogone Template","Text Color of the Ogone Template"
"Title","Title"
"Title of the Ogone Template","Title of the Ogone Template"
"URL/filename of the logo.
                            <br />The URL must be absolute and stored on a secure server.
                            ","URL/filename of the logo.
                            <br />The URL must be absolute and stored on a secure server.
                            "
"Unknown exception","Unknown exception"
"Verical list","Verical list"
"Waiting Authorization","Waiting Authorization"
"You can arrange the layout/list of the payment methods on Ogone payment page","You can arrange the layout/list of the payment methods on Ogone payment page"
"You will be redirected to Ogone website when you place an order.","You will be redirected to Ogone website when you place an order."
"e.g: Verdana","e.g: Verdana"
"e.g: black","e.g: black"
"e.g: white","e.g: white"
