"--Please Select--","--Please Select--"
"AMEX","AMEX"
"AURORE","AURORE"
"Activated Key","Activated Key"
"Amount does not match.","Amount does not match."
"An error has occurred","An error has occurred"
"Authorization","Authorization"
"CARTE","CARTE"
"CB","CB"
"Cannot create the invoice.","Cannot create the invoice."
"Card Verification Number","Card Verification Number"
"Cart Type","Cart Type"
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to continue shopping."
"Command Line Mode","Command Line Mode"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Credit Card Types"
"Customer Choise","Customer Choise"
"DEU (German)","DEU (German)"
"DINERS","DINERS"
"Debug Flag","Debug Flag"
"Delay in Displaying the Intermediary Page (in msec)","Delay in Displaying the Intermediary Page (in msec)"
"E CARD","E CARD"
"ESP (Spanish)","ESP (Spanish)"
"EUROCARD & MASTERCARD","EUROCARD & MASTERCARD"
"Enabled","Enabled"
"Error in refunding the payment","Error in refunding the payment"
"Expiration Date","Expiration Date"
"FRA (French)","FRA (French)"
"GBR (English)","GBR (English)"
"GET","GET"
"HTML Form","HTML Form"
"ITA (Italian)","ITA (Italian)"
"JCB","JCB"
"Language of the Payment Page","Language of the Payment Page"
"Management Mode of the Intermediary Page","Management Mode of the Intermediary Page"
"Mode A","Mode A"
"Mode B","Mode B"
"Mode C","Mode C"
"Mode D","Mode D"
"Mode E","Mode E"
"Mode of Retrieval of Information","Mode of Retrieval of Information"
"NLD (Dutch)","NLD (Dutch)"
"Name of the Button on the Intermediary Page","Name of the Button on the Intermediary Page"
"Name on Card","Name on Card"
"Name on the Card: %s","Name on the Card: %s"
"New Order Status","New Order Status"
"Only if the ""HTML From"" mode selected.","Only if the ""HTML From"" mode selected."
"Only with ""Command Line"" mode.","Only with ""Command Line"" mode."
"Order does not match.","Order does not match."
"PAYBOX Identifier","PAYBOX Identifier"
"PAYNOVA","PAYNOVA"
"PAYPAL","PAYPAL"
"POST","POST"
"Paybox CGI File","Paybox CGI File"
"Paybox Direct","Paybox Direct"
"Paybox System","Paybox System"
"Paybox payment gateway is not available right now","Paybox payment gateway is not available right now"
"Payment","Payment"
"Payment Action","Payment Action"
"Payment Type","Payment Type"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Ping Flag","Ping Flag"
"Please Select","Please Select"
"Rank Number","Rank Number"
"SWE (Swedish)","SWE (Swedish)"
"SYMPASS","SYMPASS"
"Screen Background of the Intermediary Page","Screen Background of the Intermediary Page"
"Site Number (TPE)","Site Number (TPE)"
"Sort Order","Sort Order"
"Specify the URL of the primary backup payment server if different from default.","Specify the URL of the primary backup payment server if different from default."
"Specify the URL of the primary payment server if different from default.","Specify the URL of the primary payment server if different from default."
"Specify the URL of the second backup payment server if different from default.","Specify the URL of the second backup payment server if different from default."
"Specify the URL of the third backup payment server if different from default.","Specify the URL of the third backup payment server if different from default."
"TCP Port","TCP Port"
"TCP port used to check the availability of a payment server if ""Ping Flag"" enabled (default port is 443).","TCP port used to check the availability of a payment server if ""Ping Flag"" enabled (default port is 443)."
"TERMINEO","TERMINEO"
"Text on the Intermediary Page","Text on the Intermediary Page"
"The URL of the Backup Payment Server","The URL of the Backup Payment Server"
"The URL of the Primary Backup Payment Server","The URL of the Primary Backup Payment Server"
"The URL of the Primary Payment Server","The URL of the Primary Payment Server"
"The URL of the Second Backup Payment Server","The URL of the Second Backup Payment Server"
"The URL of the Third Backup Payment Server","The URL of the Third Backup Payment Server"
"The customer has returned from Paybox.","The customer has returned from Paybox."
"The customer was redirected to Paybox","The customer was redirected to Paybox"
"The customer was redirected to Paybox using \'command line\' mode.","The customer was redirected to Paybox using \'command line\' mode."
"The customer was refused by Paybox.","The customer was refused by Paybox."
"The customer was rejected by Paybox.","The customer was rejected by Paybox."
"The invoice has been created.","The invoice has been created."
"The order was canceled by the customer.","The order was canceled by the customer."
"There are no orders.","There are no orders."
"There has been an error processing your payment. ","There has been an error processing your payment. "
"There has been an error processing your payment. Please try later or contact us for help.","There has been an error processing your payment. Please try later or contact us for help."
"Time-out (in seconds) to check the avalaibility of the primary backup payment server (default 10 seconds).","Time-out (in seconds) to check the avalaibility of the primary backup payment server (default 10 seconds)."
"Time-out (in seconds) to check the avalaibility of the primary payment server (default 8 seconds).","Time-out (in seconds) to check the avalaibility of the primary payment server (default 8 seconds)."
"Time-out (in seconds) to check the avalaibility of the second backup payment server (fefault 20 seconds).","Time-out (in seconds) to check the avalaibility of the second backup payment server (fefault 20 seconds)."
"Time-out (in seconds) to check the avalaibility of the third backup payment server (default 20 seconds).","Time-out (in seconds) to check the avalaibility of the third backup payment server (default 20 seconds)."
"Timeout for Checking","Timeout for Checking"
"Title","Title"
"VISA","VISA"
"What is this?","What is this?"
"You will be redirected to Paybox in a few seconds.","You will be redirected to Paybox in a few seconds."
"You will be redirected to the Paybox website when you place an order.","You will be redirected to the Paybox website when you place an order."
