"Billing Information","Billing Information"
"Change Payment Method","Change Payment Method"
"Change Shipping Address","Change Shipping Address"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type: %s","Credit Card Type: %s"
"Debit or Credit Card","Debit or Credit Card"
"Edit Shopping Cart","Edit Shopping Cart"
"Incl. Tax","Incl. Tax"
"Issue Number","Issue Number"
"Items in Your Shopping Cart","Items in Your Shopping Cart"
"Maestro/Solo","Maestro/Solo"
"No shipping method required.","No shipping method required."
"PayPal","PayPal"
"PayPal Email:","PayPal Email:"
"PayPal Uk Account","PayPal Uk Account"
"PayPalUK Express Order Review Form","PayPalUK Express Order Review Form"
"Payment Method","Payment Method"
"Pending PayPal","Pending PayPal"
"Place an Order","Place an Order"
"Please select a shipping method...","Please select a shipping method..."
"Please select a valid shipping method before submitting the order.","Please select a valid shipping method before submitting the order."
"Price","Price"
"Product Name","Product Name"
"Qty","Qty"
"Review Order","Review Order"
"Shipping Address","Shipping Address"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Start Date","Start Date"
"Submitting order information...","Submitting order information..."
"Subtotal","Subtotal"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"Unable to initialize Express Checkout review.","Unable to initialize Express Checkout review."
"Unable to place the order.","Unable to place the order."
"Unable to process Express Checkout approval.","Unable to process Express Checkout approval."
"Unable to start Express Checkout.","Unable to start Express Checkout."
"Unable to update shipping method.","Unable to update shipping method."
"Update Shipping Method","Update Shipping Method"
"Wrong PayPal Express Checkout Token specified.","Wrong PayPal Express Checkout Token specified."
"You will be redirected to PayPal in a few seconds.","You will be redirected to PayPal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Your billing address will be ignored and you will be redirected to PayPal UK website"
