"Abandoned carts","Abandoned carts"
"Action","Action"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Any","Any"
"Applied Coupon","Applied Coupon"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Are you sure?","Are you sure?"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Bestsellers"
"Bought from wishlists","Bought from wishlists"
"CSV","CSV"
"Carts","Carts"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Coupon Code","Coupon Code"
"Coupons","Coupons"
"Coupons Usage Report","Coupons Usage Report"
"Created at","Created at"
"Current Month Starts","Current Month Starts"
"Customer","Customer"
"Customer Name","Customer Name"
"Customer Tags","Customer Tags"
"Customers","Customers"
"Customers Report","Customers Report"
"Customers Reviews","Customers Reviews"
"Customers Tags","Customers Tags"
"Customers by number of orders","Customers by number of orders"
"Customers by orders total","Customers by orders total"
"Customers that have wishlist: %s%","Customers that have wishlist: %s%"
"Dashboard","Dashboard"
"Day","Day"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Description","Description"
"Detail","Detail"
"Discount Amount","Discount Amount"
"Downloads","Downloads"
"Email","Email"
"Empty Rows","Empty Rows"
"Excel","Excel"
"Filter","Filter"
"First Name","First Name"
"From","From"
"Guest","Guest"
"Hits","Hits"
"ID","ID"
"Index model name must be defined","Index model name must be defined"
"Invalid date specified","Invalid date specified"
"Items in Cart","Items in Cart"
"Last Name","Last Name"
"Last Review","Last Review"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Low stock","Low stock"
"Month","Month"
"Most Viewed","Most Viewed"
"Most viewed","Most viewed"
"Name","Name"
"New Accounts","New Accounts"
"No records found for this period.","No records found for this period."
"Number Added","Number Added"
"Number Fulfilled","Number Fulfilled"
"Number Of Historical Uses","Number Of Historical Uses"
"Number Of Reviews","Number Of Reviews"
"Number Of Uses","Number Of Uses"
"Number Purchased","Number Purchased"
"Number Viewed","Number Viewed"
"Number of Invoiced Orders","Number of Invoiced Orders"
"Number of Items","Number of Items"
"Number of New Accounts","Number of New Accounts"
"Number of Orders","Number of Orders"
"Number of Products to display","Number of Products to display"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Number of Reviews"
"Number of Total Tags","Number of Total Tags"
"Number of Unique Tags","Number of Unique Tags"
"Number of Use","Number of Use"
"Number of Views","Number of Views"
"Number of items bought from a wishlist: %s","Number of items bought from a wishlist: %s"
"Number of times deleted","Number of times deleted"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
