"%s is not a supported currency.","%s is not a supported currency."
"Accept","Accept"
"Basic","Basic"
"Cannot retrieve rate from %s to %s.","Cannot retrieve rate from %s to %s."
"Cannot retrieve rate from Strikeiron.","Cannot retrieve rate from Strikeiron."
"Check All Email Servers","Check All Email Servers"
"Complete","Complete"
"Country/Region/Postal Code Combination","Country/Region/Postal Code Combination"
"Customer Tax Class","Customer Tax Class"
"Email Verification","Email Verification"
"Enable Email Verification","Enable Email Verification"
"Enable Foreign Exchange Rate","Enable Foreign Exchange Rate"
"Enable Global Address Verification","Enable Global Address Verification"
"Enable Sales and Use Tax","Enable Sales and Use Tax"
"Enable US Address Verification","Enable US Address Verification"
"Error Address Action","Error Address Action"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Foreign Exchange Rates","Foreign Exchange Rates"
"Global Address Verification","Global Address Verification"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate."
"Invalid email address.","Invalid email address."
"Maximum Tax Rate","Maximum Tax Rate"
"Minimum Tax Rate","Minimum Tax Rate"
"Password","Password"
"Pop up warning and accept","Pop up warning and accept"
"Product Tax Class","Product Tax Class"
"Reject","Reject"
"Sales and Use Tax","Sales and Use Tax"
"Sales and Use Tax Type","Sales and Use Tax Type"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Config"
"Strikeiron Section","Strikeiron Section"
"Strikeiron foreign exchange rate is disabled.","Strikeiron foreign exchange rate is disabled."
"Tax","Tax"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","The email address cannot be verified. Please check again and make sure your email address is entered correctly."
"There are no more hits remaining for the foreign Exchange Rate Service.","There are no more hits remaining for the foreign Exchange Rate Service."
"There is an error in retrieving the tax rate. Please contact us.","There is an error in retrieving the tax rate. Please contact us."
"There is an error in verifying an email. Please contact us.","There is an error in verifying an email. Please contact us."
"There is no response back from Strikeiron server.","There is no response back from Strikeiron server."
"US Address Verification","US Address Verification"
"Undetermined Email Action","Undetermined Email Action"
"Use","Use"
"User ID","User ID"
"Verify Address in Admin","Verify Address in Admin"
"Verify Email in Admin","Verify Email in Admin"
