"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","Action"
"Add New Tag","Add New Tag"
"Add Tags","Add Tags"
"Add Your Tags:","Add Your Tags:"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"All Tags","All Tags"
"Approved","Approved"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Back","Back"
"Back to Tags List","Back to Tags List"
"Base Popularity","Base Popularity"
"Block Information","Block Information"
"CSV","CSV"
"Change status","Change status"
"Click on a tag to view your corresponding products.","Click on a tag to view your corresponding products."
"Country","Country"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customer Since","Customer Since"
"Customers","Customers"
"Customers Submitted this Tag","Customers Submitted this Tag"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Delete","Delete"
"Delete Tag","Delete Tag"
"Disabled","Disabled"
"Edit Tag '%s'","Edit Tag '%s'"
"Email","Email"
"First Name","First Name"
"General Information","General Information"
"Grid","Grid"
"ID","ID"
"Last Name","Last Name"
"List","List"
"Manage Tags","Manage Tags"
"My Recent Tags","My Recent Tags"
"My Tags","My Tags"
"Name","Name"
"New Tag","New Tag"
"No matches found.","No matches found."
"Other people marked this product with these tags:","Other people marked this product with these tags:"
"Pending","Pending"
"Pending Tags","Pending Tags"
"Popular","Popular"
"Popular Tags","Popular Tags"
"Popularity","Popularity"
"Price","Price"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Product Tags","Product Tags"
"Products","Products"
"Products Tagged by Administrators","Products Tagged by Administrators"
"Products Tagged by Customers","Products Tagged by Customers"
"Products Tagged with '%s'","Products Tagged with '%s'"
"Products tagged with '%s'","Products tagged with '%s'"
"SKU","SKU"
"Save And Continue Edit","Save And Continue Edit"
"Save Tag","Save Tag"
"Search Terms","Search Terms"
"Status","Status"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag ""%s"" has been added to the product","Tag ""%s"" has been added to the product"
"Tag Name","Tag Name"
"Tagged Products List","Tagged Products List"
"Tags","Tags"
"Tags Aren't Available","Tags Aren't Available"
"Tags List (All Available)","Tags List (All Available)"
"Tags:","Tags:"
"Telephone","Telephone"
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s)","Unable to save tag(s)"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use spaces to separate tags. Use single quotes (') for phrases."
"Uses","Uses"
"View All Tags","View All Tags"
"View Customers","View Customers"
"View Products","View Products"
"Visible In","Visible In"
"XML","XML"
"You have not tagged any products yet.","You have not tagged any products yet."
"Your tag was successfully deleted","Your tag was successfully deleted"
"ZIP/Post Code","ZIP/Post Code"
