" was not delivered nor scanned"," was not delivered nor scanned"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package."
"%d business days","%d business days"
"%d-%d business days","%d-%d business days"
"1 business day","1 business day"
"1 Day Freight","1 Day Freight"
"2 Day","2 Day"
"2 Day AM","2 Day AM"
"2 Day Freight","2 Day Freight"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 Day Freight"
"3 Day Select","3 Day Select"
"9-digit USPS Mailer ID assigned to your business. Required for creating shipping labels and manifests. Not needed for rate quotes - leave empty if only displaying shipping rates at checkout.","9-digit USPS Mailer ID assigned to your business. Required for creating shipping labels and manifests. Not needed for rate quotes - leave empty if only displaying shipping rates at checkout."
"<strong>Production:</strong> https://apis.usps.com/ (Live transactions)<br/><strong>Sandbox:</strong> https://apis-tem.usps.com/ (Testing only)","<strong>Production:</strong> https://apis.usps.com/ (Live transactions)<br/><strong>Sandbox:</strong> https://apis-tem.usps.com/ (Testing only)"
"Access ID","Access ID"
"Access License Number","Access License Number"
"Account ID","Account ID"
"Account Number","Account Number"
"Account Type","Account Type"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Address could not be verified.","Address could not be verified."
"Address Line 2","Address Line 2"
"Address Not Found","Address Not Found"
"Address Not Verified","Address Not Verified"
"Address updated.","Address updated."
"Address Verification","Address Verification"
"Address verification failed.","Address verification failed."
"Address verified successfully.","Address verified successfully."
"Adult","Adult"
"Adult Signature Required","Adult Signature Required"
"AES/ITN","AES/ITN"
"Allowed Methods","Allowed Methods"
