"All Websites","All Websites"
"Apply Discounts To FPT","Apply Discounts To FPT"
"Display Prices In Emails","Display Prices In Emails"
"Display Prices In Product Lists","Display Prices In Product Lists"
"Display Prices In Sales Modules","Display Prices In Sales Modules"
"Display Prices On Product View Page","Display Prices On Product View Page"
"Enable FPT","Enable FPT"
"Excluding FPT","Excluding FPT"
"Excluding FPT, FPT description, final price","Excluding FPT, FPT description, final price"
"FPT Tax Configuration","FPT Tax Configuration"
"Fixed Product Tax","Fixed Product Tax"
"Fixed Product Taxes","Fixed Product Taxes"
"Include FPT In Subtotal","Include FPT In Subtotal"
"Including FPT and FPT description","Including FPT and FPT description"
"Including FPT and FPT description [incl. FPT VAT]","Including FPT and FPT description [incl. FPT VAT]"
"Including FPT only","Including FPT only"
"Loaded and Displayed with Tax","Loaded and Displayed with Tax"
"Not Taxed","Not Taxed"
"Taxed","Taxed"
"Total","Total"
"Total Incl. Tax","Total Incl. Tax"
"Total excl. tax","Total excl. tax"
"Total incl. tax","Total incl. tax"
"Total:","Total:"
