"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International"
"All Polish Banks","All Polish Banks"
"CartaSi","CartaSi"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (powered by Moneybookers) - Italy"
"Carte Bleue","Carte Bleue"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (powered by Moneybookers) - France"
"Credit Card / Visa, Mastercard, AMEX, JCB, Diners","Credit Card / Visa, Mastercard, AMEX, JCB, Diners"
"Customer ID","Customer ID"
"Customer was redirected to Moneybookers.","Customer was redirected to Moneybookers."
"Dankort","Dankort"
"Dankort (powered by Moneybookers) - Denmark","Dankort (powered by Moneybookers) - Denmark"
"EPS Online-Überweisung","EPS Online-Überweisung"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (powered by Moneybookers) - Austria"
"Enabled","Enabled"
"Giropay","Giropay"
"Giropay (powered by Moneybookers) - Germany","Giropay (powered by Moneybookers) - Germany"
"Laser","Laser"
"Laser (powered by Moneybookers) - Ireland","Laser (powered by Moneybookers) - Ireland"
"Lastschrift (ELV)","Lastschrift (ELV)"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (powered by Moneybookers) - Germany"
"Loading secure payment page (SSL)","Loading secure payment page (SSL)"
"Moneybookers","Moneybookers"
"Moneybookers Info URL","Moneybookers Info URL"
"Moneybookers Settings","Moneybookers Settings"
"Moneybookers Transaction ID: %s","Moneybookers Transaction ID: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","More information about Moneybookers"
"Nordea Solo","Nordea Solo"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (powered by Moneybookers) - Finland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (powered by Moneybookers) - Sweden"
"Order ID","Order ID"
"POLi","POLi"
"POLi (powered by Moneybookers) - Australia","POLi (powered by Moneybookers) - Australia"
"Payment failed","Payment failed"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment has not been processed yet.","Payment has not been processed yet."
"Payment was canceled","Payment was canceled"
"Pending bank transfer created.","Pending bank transfer created."
"Please pay your order now","Please pay your order now"
"Postepay","Postepay"
"Postepay (powered by Moneybookers) - Italy","Postepay (powered by Moneybookers) - Italy"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (powered by Moneybookers) - Poland"
"Sofortüberweisung","Sofortüberweisung"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (powered by Moneybookers) - Germany"
"Sort Order","Sort Order"
"The amount has been authorized and captured by Moneybookers.","The amount has been authorized and captured by Moneybookers."
"The order has been canceled.","The order has been canceled."
"Title","Title"
"You will be redirected to our secure payment page when you place an order.","You will be redirected to our secure payment page when you place an order."
"eNETS","eNETS"
"eNETS (powered by Moneybookers) - Singapore","eNETS (powered by Moneybookers) - Singapore"
"iDeal","iDeal"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (powered by Moneybookers) - Netherlands"
