"Access denied.","Acceso denegado"
"Can not find webservice adapter.","No es posible encontrar el adaptador del servicio web."
"Client Session Timeout (sec.)","Plazo límite de la sesión cliente (seg.)"
"Default Response Charset","Conjunto de caracteres de respuesta por omisión"
"Email","Correo electrónico"
"Enable WSDL Cache","Activar caché WSDL"
"General Settings","Opciones generales"
"Invalid webservice adapter specified.","Adaptador de servicio web especificado inválido"
"Invalid webservice handler specified.","Controlador de servicio web especificado inválido"
"Magento Core API","API del núcleo de Magento"
"Magento Core API Section","Apartado de la API (interfaz de programación de aplicaciones) del núcleo de Magento"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Funciones"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Usuarios"
"Unable to login.","No es posible entrar al sistema."
"User Name","Nombre de usuario"
"WS-I Compliance","Conformidad con WS-I"
"Web Services","Servicios web"
"Your account has been deactivated.","Se ha desactivado su cuenta."
