"Collected Files Count","Cantidad de archivos compilados"
"Compilation","Compilación"
"Compilation State","Estado de compilación"
"Compilation error","Error de compilación"
"Compiled","Compilado"
"Compiled Scopes Count","Cantidad de análisis compilados"
"Compiler Status","Estado del compilador"
"Compiler include path is disabled.","La ruta de inclusión del compilador está desactivada."
"Compiler include path is enabled.","La ruta de inclusión del compilador está activada."
"Directory ""%s"" must be writeable","Es necesario que se pueda escribir en el directorio ""%s"""
"Disable","Desactivar"
"Disabled","Deshabilitado"
"Enable","Habilitar"
"Enabled","Habilitado"
"File ""%s"" must be writeable","Es necesario que se pueda escribir en el archivo ""%s"""
"Not Compiled","No compilado"
"Run Compilation Process","Ejecutar proceso de compilación"
"Scopes Compilation Settings","Configuración de compilación de análisis"
"System","Sistema"
"The compilation has completed.","Se completó la compilación."
"Tools","Herramientas"
