"%s file does not exists or is not readable","El archivo %s no existe o no es legible"
"-- Please Select --","-- Por favor seleccione --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","El adaptador debe ser una instancia de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","El objeto adaptador debe ser un ejemplo de %s"
"Adapter type must be a non empty string","El tipo de adaptador debe ser una cadena no vacía"
"Append Complex Data","Adjuntar Datos Complejos"
"Attribute Code","Código de Atributo"
"Attribute Label","Etiqueta de Atributo"
"Attribute does not has options, so filtering is impossible","El atributo no tiene opciones, por lo que el filtrado es imposible"
"Begin data validation","Inicie la validación de los datos."
"Begin export of %s","Comenzar la exportación de %s"
"Begin import of ""%s"" with ""%s"" behavior","Comenzar la importación de ""%s"" con comportamiento ""%s"""
"CSV","CSV"
"Can not determine attribute filter type","No se puede determinar el tipo de filtro de atributos"
"Can not find required columns: %s","No se pueden encontrar las columnas solicitadas: %s"
"Cannot get autoincrement value","No se puede obtener un incremento automático del valor"
"Check Data","Verificar los datos"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Filas revisadas: %d, entidades revisadas: %d, filas inválidas: %d, errores totales: %d"
"Column names have duplicates","Los nombres de columna tienen duplicados"
"Column names is empty or is not an array","Nombres de columna está vacío o no es una matriz"
"Column names: ""%s"" are invalid","Nombres de comlumna: ""%s"" no son válidos"
"Customers","Clientes"
"Data is invalid or file is not uploaded","Los datos son incorrectos o el archivo no está cargado"
"Delete Entities","Borrar Entidades"
"Destination directory is not writable","No se puede escribir en el directorio de destino"
"Destination file is not writable","No se puede escribir en el archivo de destino"
"Destination file path must be a string","La ruta del archivo de destino debe ser una cadena"
"Done import data validation","Validación de los datos de importación completada"
"Duplicate Unique Attribute for '%s'","Atributo único duplicado para '%s'"
"Entity Type","Tipo de Entidad"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","El objeto adaptador de la entidad debe ser una copia virtual de Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","El objeto de adaptador de entidad debe ser una instancia de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entidad desconocida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","El modelo de tipo de entidad debe ser una instancia de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","El modelo de tipo de entidad debe ser una instancia de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Error en la estructura de datos: hay conductas mezcladas"
"Error in data structure: entity codes are mixed","Error en la estructura de datos: hay códigos de entidad mezclados"
"Errors limit (%d) reached. Please fix errors and re-upload file","Límite de errores (%d) superado. Por favor, corrige los errores y vuelve a subir el archivo"
"Export","Exportar"
"Export File Format","Exportar el Formato de Archivo"
"Export Settings","Exportar la Configuración"
"Export has been done.","Se ha completado la exportación."
"Exported %s rows.","Se han exportado %s filas."
"File does not contain data.","El archivo no contiene datos."
"File does not contain data. Please upload another one","El archivo no contiene datos. Por favor cargue otro distinto"
"File format is unknown","Formato de archivo desconocido"
"File is partially valid, but import is not possible","El archivo es parcialmente válido, pero no es posible importar"
"File is totally invalid. Please fix errors and re-upload file","El archivo es totalmente inválido. Por favor corrija los errores y vuelva a cargar el archivo"
"File is valid! To start import process press ""Import"" button","El archivo no es correcto. Para empezar el proceso de importación pulse el botón ""Importar"""
"File is valid, but import is not possible","El archivo es válido, pero importar no es posible"
"File was not uploaded","No se ha cargado el archivo"
"Filter","Filtrar"
"From","Desde"
"Header column names already set","Nombres de los encabezados de las columnas ya fijados"
"Import","Importar"
"Import Behavior","Importar Comportamiento"
"Import Settings","Importar configuración"
"Import has been done successfuly.","Se ha completado correctamente la importación."
"Import successfully done.","Importación realizada con éxito."
"Import/Export","Importar/Exportar"
"Input entity code is not equal to entity adapter code","El código de la entidad de entrada no es igual al código adaptador de la entidad"
"Invalid entity","Entidad no válida"
"Invalid entity model","Modelo de entidad inválido"
"Invalid file format","Formato de archivo no válido"
"Invalid parameters","Parámetros no válidos"
"Invalid seek position","Posición de búsqueda no válida"
"Invalid value for '%s'","Valor inválido para '%s'"
"Invalid value for '%s' column","Valor inválido para la columna '% s'"
"No filter data provided","No se han proporcionado filtros de datos"
"No source specified","Ninguna fuente especificada"
"No valid data sent","Los datos enviados no son válidos"
"No writer specified","Ningún escritor especificado"
"Node does not has model token tag","El nodo no tiene una etiqueta de señal modelo"
"Not implemented yet","Aún no implementado"
"Please fix errors and re-upload file","Por favor, corrija los errores y vuelva a cargar el archivo"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Solucione los errores y vuelva a cargar el archivo, o pulse el botón ""Importar"" para omitir las filas con errores"
"Products","Productos"
