"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' es demasiado largo. Debe tener una longitud de %min% símbolos."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' es demasiado corto. Debe tener una longitud de %min% símbolos."
"* Required Fields","* Campos Requeridos"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicitudes de acceso a tu cuenta"
"Admin","Administrar"
"After authorization application will have access to you account.","Después de la solicitud de autorización tendrás acceso a tu cuenta."
"An error occurred on confirm authorize.","Se produjo un error en la confirmación de autorización."
"An error occurred on delete action.","Se produjo un error en la acción de suprimido."
"An error occurred on delete application.","Se produjo un error al suprimir la aplicación."
"An error occurred on reject authorize.","Se produjo un error al rechazar la autorización."
"An error occurred on saving consumer data.","Se produjo un error al guardar la información del consumidor."
"An error occurred on update revoke status.","Se produjo un error al actualizar el estado de revocación."
"An error occurred while deleting the consumer.","Se produjo un error al suprimir el consumidor."
"An error occurred.","Se produjo un error."
"An error occurred. Your authorization request is invalid.","Se produjo un error. Tu solicitud de autorización no es válida."
"App Name","Nombre de la app"
"Application ""%s"" has been deleted.","La aplicación ""%s"" se ha suprimido."
"Application ""%s"" has been enabled.","La aplicación ""%s"" se ha habilitado."
"Application ""%s"" has been revoked.","La aplicación ""%s"" ha sido revocada."
"Application Name","Nombre de la aplicación"
"Application not found.","Aplicación no encontrada."
"Are you sure you want to delete this application?","¿Estás seguro de que quieres suprimir esta aplicación?"
"Are you sure you want to disable this application?","¿Estás seguro de que quieres deshabilitar esta aplicación?"
"Are you sure you want to enable this application?","¿Estás seguro de que quieres habilitar esta aplicación?"
"Authorization confirmed","Autorización confirmada"
"Authorization confirmed.","Autorización confirmada."
"Authorize","Autorizar"
"Authorize application","Autorizar aplicación"
"Authorized Tokens","Tokens autorizados"
"Callback URL","Llamada URL"
"Cleanup Probability","Probabilidad de limpieza"
"Cleanup Settings","Ajustes de limpieza"
"Close","Cerrar"
"Confirm OAuth token authorization","Confirmar autorización de token OAuth"
"Confirm token authorization Pop Up for admin","Confirmar símbolo de autorización Pop Up para administradores"
"Confirm token authorization for admin","Confirmar símbolo de autorización para administradores"
"Confirmation Of Authorization","Confirmación de autorización"
"Consumer Information","Información del cliente"
"Consumer Name","Nombre de cliente"
"Consumers","Consumidores"
"Created At","Creado en"
"Customer","Cliente"
"Customer My Account My OAuth Applications","Cliente Mi cuenta Mis Aplicaciones OAuth"
"Delete","Eliminar"
"Disable","Desactivar"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Consumer","Editar cliente"
"Email","Correo electrónico"
"Email Address","Dirección de email"
"Enable","Habilitar"
"Enabled","Habilitado"
"Entry with ID #%s not found.","La entrada con Identificación #%s no se ha encontrado."
"Expiration Period","Periodo de expiración"
"Give the verifier code to application administrator","Proporcionar el código de verificación al administrador de la aplicación"
"ID","ID"
"Invalid Callback URL","Llamada URL inválida"
"Invalid ID parameter.","Parámetro de Identificación inválido."
"Invalid Rejected Callback URL","Llamada URL rechazada inválida"
"Invalid entry ID.","Entrada de Identificación inválida."
"Invalid revoke status.","Estado de revocación inválido."
"Key","Clave"
"Log In","Inicio de sesión"
"Log in as a customer","Iniciar sesión como cliente"
"Log in as admin","Iniciar sesión como administrador"
"Log in as customer","Iniciar sesión como cliente"
"Log in to use <strong>%s</strong>","Acceder para utilizar <strong>%s</strong>"
"Login","Iniciar sesión"
"My Applications","Mis aplicaciones"
"Name","Nombre"
"New Consumer","Nuevo Consumidor"
"OAuth","OAuth"
"OAuth Admin My Apps","Administrador OAuth Mis aplicaciones"
"OAuth Authorized Tokens","Tokens OAuth autorizados"
"OAuth Consumers","Consumidores de OAuth"
"OAuth authorization Pop Up for customer","Autorización OAuth emergente para el cliente"
"OAuth authorization for admin","Autorización de OAuth para administradores"
"OAuth authorization for customer","Autorización OAuth para el cliente"
"OAuth authorization simple for admin","Autorización simple de OAuth para administradores"
"Password","Contraseña"
"Permissions","Permisos"
"Please login to proceed authorization.","Inicia sesión para proceder con la autorización"
"Please select needed row(s).","Por favor, selecciona las fila(s) necesaria(s)."
"Please select revoke status.","Por favor, selecciona estado de revocación."
"REST - My Apps","REST - Mis aplicaciones"
"REST - OAuth Authorized Tokens","REST - Tokens OAuth autorizados"
"REST - OAuth Consumers","REST - Clientes OAuth"
"Reject","Rechazar"
"Reject OAuth token authorization","Rechazar autorización de token OAuth"
"Reject authorization","Rechazar autorización"
"Reject token authorization Pop Up for admin","Rechazar símbolo de autorización Pop Up para administradores"
"Reject token authorization for admin","Rechazar símbolo de autorización Pop Up"
"Rejected Callback URL","Llamada URL rechazada"
"Rejection Of Authorization","Rechazo de la autorización"
"Revoked","Revocada"
"Role Name","Nombre de la función"
"Save","Guardar"
"Save and Continue Edit","Guardar y continuar editando"
"Secret","Secreto"
"Selected entries enabled.","Entradas seleccionadas habilitadas."
"Selected entries has been deleted.","Las entradas seleccionadas han sido suprimidas."
"Selected entries revoked.","Entradas seleccionadas revocadas."
"Status","Estado"
"System","Sistema"
"The application access request is rejected.","La solicitud de acceso a la aplicación se ha rechazado."
"The consumer has been deleted.","El consumidor se ha suprimido."
"The consumer has been saved.","Se ha guardado el consumidor."
"Token Status Change","Cambio de estado de token"
"Token Status Change Email Template","Plantilla de correo electrónico de cambio de estado de token"
"Unable to find a consumer.","No se pudo encontrar un cliente."
"User ID","ID de Usuario"
"User Name","Nombre de Usuario"
"User Type","Tipo de usuario"
"Verifier code: %s","Código de verificación: %s"
"You have no applications.","No tienes aplicaciones."
"deleted","suprimida"
"enabled","habilitado"
"revoked","revocado"
