"%s Item(s)","%s artículo(s)"
"%s-%s of %s","%s-%s de %s"
"&copy","&copia; 2013 Magento Demo Store. All Rights Reserved."
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; Tienda de Demos de Magneto 2012. Reservados todos los derechos."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","Pulse (Shift-) o arrastre para modificar el valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Pulse sobre cualquiera de los fragmentos de tiempo para aumentarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga pulsado el botón del ratón sobre cualquiera de los botones de arriba para obtener una selección más rápida."
"- Use the %s buttons to select month","- Utilice los botones %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","- Utilice los botones %s, %s para seleccionar el año"
"- or Shift-click to decrease it","- o pulse Shift para disminuirlo"
"- or click and drag for faster selection.","- o pulse y arrastre para obtener una selección más rápida."
"-- Please Select --","-- Seleccionar, por favor --"
"1 column","1 columna"
"2 columns with left bar","2 columnas con barra a la izquierda"
"2 columns with right bar","2 columnas con barra a la derecha"
"3 columns","3 columnas"
"About the calendar","Sobre el calendario"
"Account","Cuenta"
"All Empty Layout Pages","Todas las páginas de diseño vacías"
"All One-Column Layout Pages","Todas las páginas de diseño con una columna"
"All Pages","Todas las páginas"
"All Pages (Print Version)","Todas las páginas (versión para imprimir)"
"All Three-Column Layout Pages","Todas las páginas de diseño con tres columnas"
"All Two-Column Layout Pages (Left Column)","Todas las páginas de diseño con dos columnas (columna a la izquierda)"
"All Two-Column Layout Pages (Right Column)","Todas las páginas de diseño con dos columnas (columna a la derecha)"
"Allow","Permitir"
"Breadcrumbs","Navegación"
"Click <a href=""%s"">here</a> if nothing has happened","Haga clic <a href=""%s"">aquí</a> si no ha ocurrido nada"
"Close","Cerrar"
"Close Window","Cerrar Ventana"
"DHTML Date/Time Selector","Selector de fecha/hora DHTML"
"Date selection:","Elección de la fecha:"
"Default Description","Descripción predeterminada"
"Default welcome msg!","¡Mensaje por defecto de bienvenida!"
"Display %s first","Mostrar %s primero"
"Distributed under GNU LGPL. See %s for details.","Distribuido según la LGPL de GNU. Para más información véase %s."
"Drag to move","Arrastrar para mover"
"Empty","Vacío(a)"
"For latest version visit: %s","Para la última versión, visitar: %s"
"Free Shipping on orders over 50$","Portes pagados para envíos de más de 50 dólares."
"Go Today","Ir a Hoy"
"Help Us to Keep Magento Healthy","Ayúdenos a que Magento siga funcionando correctamente"
"Interface Language","Idioma de interfaz"
"Items %s to %s of %s total","Elementos %s a %s de un total de %s"
"JavaScript seems to be disabled in your browser.","Puede que JavaScript esté deshabilitado en tu navegador."
"Left Column","Columna izquierda"
"Left Column First (shows above main column on smaller screens)","Columna izquierda primero (aparece sobre la columna principal en pantallas pequeñas)"
"Main Content Area","Área de contenido principal"
"Menu","Menú"
"Navigation Bar","Barra de navegación"
"Next","Siguiente"
"Next month (hold for menu)","Mes siguiente (mantenga presionado para ver menú)"
"Next year (hold for menu)","Año siguiente (mantenga presionado para ver menú)"
"Page Bottom","Parte inferior de la página"
"Page Footer","Pie de página"
"Page Header","Encabezado de página"
"Page Top","Parte superior de la página"
"Page:","Página:"
"Prev. month (hold for menu)","Mes anterior (mantenga presionado para ver el menú)"
"Prev. year (hold for menu)","Año anterior (mantenga presionado para ver el menú)"
"Previous","Anterior"
"Redirecting...","Redireccionando..."
"Report All Bugs","Informar de todos los errores"
"Results per page","Resultados por página"
"Right Column","Columna derecha"
"Search","Búsqueda"
"Select Store","Seleccionar tienda"
"Select Store:","Seleccionar tienda:"
"Select date","Seleccionar fecha"
"Show","Mostrar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado en esta tienda no será aceptado ni completado."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Esta página necesita cookies para proporcionar todas sus características. Para más información sobre qué información se contiene en las cookies, por favor, visite nuestra <a href=""%s"">Política de Privacidad</a>. Para aceptar cookies de esta página, por favor, haga clic más abajo en el botón Permitir."
"Time selection:","Selección de tiempo:"
"Time:","Hora:"
"View All ","Ver todo"
"Welcome, %s!","¡Bienvenido, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Tiene que activar el JavaScript del navegador para utilizar las funciones de este sitio web."
"Your Language","Su idioma"
"Your Language:","Su idioma:"
"per page","por página"
