"Access denied.","Accès refusé."
"Can not find webservice adapter.","Impossible de trouver l'adaptateur du service web."
"Client Session Timeout (sec.)","Expiration de la session client (secondes)"
"Default Response Charset","Table de caractères de la réponse par défaut"
"Email","Email"
"Enable WSDL Cache","Activer le cache WSDL"
"General Settings","Réglages généraux"
"Invalid webservice adapter specified.","Adaptateur de service web invalide."
"Invalid webservice handler specified.","Gérant de service web invalide."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Section"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rôles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Utilisateurs"
"Unable to login.","Connexion impossible."
"User Name","Nom d'utilisateur"
"WS-I Compliance","Conforme à WS-I"
"Web Services","Services Web"
"Your account has been deactivated.","Votre compte a été désactivé."
