"%s","%s"
"%s role is a special one and can\'t be changed.","Le rôle %s est spécial et ne peut pas être modifié."
"%s role is a special one and can\'t be deleted.","Le rôle %s est spécial et ne peut pas être supprimé."
"%s role is protected.","Le rôle %s est protégé."
"ACL Attribute Rules","Règles de l'attribut ACL"
"ACL Attributes Information","Informations sur les attributs ACL"
"Add","Ajouter"
"Add Admin Role","Ajouter rôle d'admin"
"Add New Role","Ajouter Nouveau Rôle"
"Address Type","Type d'adresse"
"Admin","Admin"
"Allow","Autoriser"
"An error occurred while deleting the role.","Une erreur s'est produite pendant la suppression du rôle."
"An error occurred while saving attribute rules.","Une erreur s'est produite pendant la sauvegarde des règles d'attribut."
"An error occurred while saving role.","Une erreur s'est produite pendant la sauvegarde du rôle."
"Api Rules Information","Informations sur les règles Api"
"Assigned","Assigné"
"Associate to Website","Associer au site web"
"Attribute Rules Information","Informations sur les règles de l'attribut"
"Attribute Set","Ensemble d'attributs"
"Attributes","Attributs"
"Automatically Return Credit Memo Item to Stock","Retournez automatiquement un article d'Avoir dans le stock"
"Back","Retour"
"Backorders","Commandes en rupture de stock"
"Base Currency","Devise de base"
"Base Customer Balance","Solde de base client"
"Base Discount","Réduction de base"
"Base Discount Amount","Montant de la réduction de base"
"Base Item Subtotal","Sous-total de l'article de base"
"Base Item Subtotal Including Tax","Sous-total de l'article de base taxe comprise"
"Base Original Price","Prix d'origine de base"
"Base Price","Prix de base"
"Base Price Including Tax","Prix de base taxe comprise"
"Base Shipping","Expédition de base"
"Base Shipping Discount","Réduction de base sur l'expédition"
"Base Shipping Tax","Taxe d'expédition de base"
"Base Subtotal","Sous-total de base"
"Base Subtotal Including Tax","Sous-total de base taxe comprise"
"Base Tax Amount","Montant de la taxe de base"
"Base Total Due","Total de base à régler"
"Base Total Paid","Total de base réglé"
"Base Total Refunded","Total de base remboursé"
"Buy Now URL","URL d'achat immédiat"
"Can Be Divided into Multiple Boxes for Shipping","Peut être réparti dans plusieurs paquets pour l'expédition"
"Canceled Qty","Qté annulée"
"Catalog","Catalogue"
"Catalog Product","Catalogue de produits"
"CatalogInventory","InventaireCatalogue"
"Category ID","Identification catégorie"
"City","Ville"
"Company","Compagnie"
"Country","Pays"
"Coupon Code","Code coupon"
"Create","Créer"
"Create Permanent Redirect for old URL","Créer une redirection permanente pour une vieille URL"
"Created From","Créé depuis"
"Customer","Client"
"Customer Address","Adresse client"
"Customer Address ID","Identifiant de l'adresse du client"
"Customer Balance","Solde du client"
"Customer First Name","Prénom du client"
"Customer ID","Identifiant utilisateur"
"Customer Last Name","Nom du client"
"Customer Middle Name","Second prénom client"
"Customer Prefix","Préfixe client"
"Customer Suffix","Suffixe client"
"Default Image","Image par défaut"
"Delete","Supprimer"
"Deny","Refuser"
"Disable automatic group change based on VAT ID","Désactiver le changement automatique de groupe en fonction de l'identifiant TVA"
"Discount","Discount"
"Discount Amount","Montant de la remise"
"Discount Description","Description de la remise"
"Edit","Éditer"
"Edit %s ACL attribute rules","Modifier les rôles de l'attribut ACL %s"
"Edit Role","Modifier modèle"
"Edit attribute rules for %s Role","Modifier les rôles de l'attribut pour le rôle %s"
"Email","Email"
"Enable Qty Increments","Activer incréments de la Qté"
"Exclude","Exclure"
"File Content","Contenu de fichier"
"File MIME Type","Type MIME du fichier"
"File Name","Nom du fichier"
"Final Price With Tax","Prix final taxe comprise"
"Final Price Without Tax","Prix final hors taxe"
"First Name","Prénom"
"Gift Message","Message du cadeau"
"Grand Total","Total final"
"Grand Total to Be Charged","Total général à facturer"
"Group","Groupe"
"Guest","Invité"
"Has Custom Options","A des options personnalisables"
"ID","ID"
"Inventory Data","Données d'inventaire"
"Invoiced Qty","Qté facturée"
"Is Confirmed","Est confirmé"
"Is Default Billing Address","Est l'adresse de facturation par défaut"
"Is Default Shipping Address","Est l'adresse de livraison par défaut"
"Item ID","Identifiant article"
"Item Subtotal","Sous-total de l'article"
"Item Subtotal Including Tax","Sous-total de l'article taxe comprise"
"Label","Étiquette"
"Last Logged In","Dernière connexion"
"Last Name","Nom de famille"
"Low Stock Date","Date de stock faible"
"Manage Stock","Gérer le stock"
"Maximum Qty Allowed in Shopping Cart","Qté maximum permise dans le caddy"
"Minimum Qty Allowed in Shopping Cart","Qté minimum permise dans le caddy"
"New Role","Nouveau rôle"
"Notify for Quantity Below","Avertir pour quantité ci-dessous"
"OAuth","OAuth"
"Order","Commande"
"Order Addresses","Adresses de commande"
"Order Comments","Commentaires Commande"
"Order Currency","Devise de commande"
"Order Date","Date de la Commande"
"Order ID","Identifiant commande"
"Order ID (internal)","Identifiant commande (interne)"
"Order Item ID","Identifiant de l'article de la commande"
"Order Items","Articles de la commande"
"Order Status","Statut de la Commande"
"Ordered Qty","Qté commandée"
"Orders","Commandes"
"Original Price","Prix d'origine"
"Parent Order Item ID","Identifiant d'objet commande parent"
"Payment Method","Méthode de Paiement"
"Phone Number","Numéro de téléphone"
"Placed from IP","Placé depuis l'IP"
"Please enter a valid number in ""max_sale_qty"" field","Veuillez entrer un numéro valide dans le champ ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Veuillez entrer un numéro valide dans le champ ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Veuillez entrer un numéro valide dans le champ ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Veuillez entrer un numéro valide dans le champ ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Veuillez utiliser des chiffres seulement dans le champ « category_id »."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Veuillez utiliser des chiffres seulement dans le champ « qty_increments ». Veuillez éviter les espaces et d'autres caractères tels que les points et les virgules."
"Position","Position"
"Price","Prix"
"Price Including Tax","Prix TTC"
"Product","Produit"
"Product Category","Catégorie du produit"
"Product ID","Identifiant du produit"
"Product Image","Image du produit"
"Product Type","Type de Produit"
"Product URL","URL du produit"
"Product Website","Site web du produit"
"Product and Custom Options Name","Produit et nom des options personnalisables"
"Qty","Qté"
"Qty Increments","Incréments de quantité"
"Qty Uses Decimals","La quantité utilise des décimales"
"Qty for Item's Status to Become Out of Stock","Qté pour que le statut de l'article devienne épuisé"
"REST - Attributes","REST - Attributs"
"REST - Roles","REST - Rôles"
"REST ACL Attributes","Attributs ACL REST"
"REST Attributes","Attributs REST"
"REST Role","Rôle REST"
"REST Roles","Rôles REST"
"REST Roles Information","Informations sur les rôles REST"
"Read","Lire"
"Refunded Qty","Qté remboursée"
"Regular Price With Tax","Prix standard TTC"
"Regular Price Without Tax","Prix standard HT"
"Rest Roles","Roles Rest"
"Retrieve","Retirer"
"Role ""%s"" no longer exists","Rôle « %s » n'existe plus"
"Role ""%s"" not found.","Rôle « %s » introuvable."
"Role API Resources","Ressources API du rôle"
"Role Info","Infos sur le rôle"
"Role Information","Informations du rôle"
"Role Name","Nom du rôle"
"Role Users","Utilisateurs rôles"
"Role has been deleted.","Le rôle a été supprimé."
"Roles","Rôles"
"SKU","UGS"
"Salability Status","Statut de l'attrait commercial"
"Sales","Ventes"
"Save","Enregistrer"
"Shipped Qty","Qté livrée"
"Shipping Amount","Montant de la livraison"
"Shipping Discount","Remise de livraison"
"Shipping Including Tax","Frais de port incluant taxes"
"Shipping Method","Méthode d'expédition"
"Shipping Tax","Taxe de livraison"
"State","État"
"Stock Availability","Disponibilité du Stock"
"Stock ID","Identifiant du stock"
"Stock Item","Article du stock"
"Stock Status","État de stock"
"Store Currency to Order Currency Rate","Stocker la devise pour commander un taux de devise"
"Store Name","Nom du magasin"
"Street","Rue"
"Subtotal","Sous-total"
"Subtotal Including Tax","Sous-total taxes incluses"
"System","Système"
"Tax Amount","Montant de la taxe"
"Tax Name","Nom de la taxe"
"Tax Percent","Pourcentage de taxe"
"Tax Rate","Taux d'imposition"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Le champ « enable_qty_increments » doit être paramétré sur 0 ou 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Le champ « is_decimal_divided » doit être paramétré sur 0 ou 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Le champ « is_in_stock » doit être paramétré sur 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Le champ « is_qty_decimal » doit être paramétré sur 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Le champ « is_qty_decimal » doit être paramétré sur 0, 1 ou 2."
"The ""manage_stock"" field must be set to 0 or 1.","Le champ « manage_stock"" » doit être paramétré sur 0 ou 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Le champ « stock_status_changed_auto » doit être paramétré sur 0 ou 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Le champ « use_config_backorders » doit être paramétré sur 0 ou 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Le champ « use_config_enable_qty_inc » doit être paramétré sur 0 ou 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Le champ « use_config_manage_stock » doit être paramétré sur 0 ou 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Le champ « use_config_max_sale_qty » doit être paramétré sur 0 ou 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Le champ « use_config_min_qty » doit être paramétré sur 0 ou 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Le champ « use_config_min_sale_qty » doit être paramétré sur 0 ou 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Le champ « use_config_notify_stock_qty » doit être paramétré sur 0 ou 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Le champ « use_config_qty_increments » doit être paramétré sur 0 ou 1."
"The attribute rules were saved.","Règles d'attribution sauvegardées."
"The role has been saved.","Le modèle a été enregistré."
"The role is a special one and not for assigning it to admin users.","Le rôle est spécial et ne peut pas être assigné aux utilisateurs d'administration."
"Total Due","Total dû"
"Total Paid","Total payé"
"Total Refunded","Total remboursé"
"Total Reviews Count","Nombre total d'évaluations"
"Type","Type"
"URL","URL"
"Update","Mettre à jour"
"Use Config Settings for Allow Gift Message","Utiliser les paramètres de configuration pour autoriser un message avec le cadeau"
"Use Config Settings for Allow Gift Wrapping","Utiliser les paramètres de configuration pour autoriser l'emballage des cadeaux"
"Use Config Settings for Backorders","Utiliser les paramètres de configuration pour les commandes en attente"
"Use Config Settings for Enable Qty Increments","Utiliser les paramètres de configuration pour activer les augmentations de qté"
"Use Config Settings for Manage Stock","Utiliser paramètres de configuration pour gestion du stock"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Utiliser les paramètres de configuration pour la qté maximum autorisée dans le panier"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Utiliser les paramètres de configuration pour la qté minimum autorisée dans le panier"
"Use Config Settings for Notify for Quantity Below","Utiliser les paramètres de configuration pour notifier la quantité ci-dessous"
"Use Config Settings for Qty Increments","Utiliser les paramètres de configuration pour les augmentations de qté"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Utiliser les paramètres de configuration de qté pour passer le statut de l'article en rupture de stock"
"User Type","Type d'utilisateur"
"User type ""%s"" no longer exists","Type d'utilisateur ""%s"" n'existe plus"
"User type ""%s"" not found.","Type d'utilisateur ""%s"" non trouvé."
"Web Services","Services Web"
"Web services","Services web"
"Write","Ecrire"
"ZIP/Postal Code","Code postal"
