"Collected Files Count","Compte de fichiers collectés"
"Compilation","Compilation"
"Compilation State","État compilation"
"Compilation error","Erreur compilation"
"Compiled","Compilé"
"Compiled Scopes Count","Compte ampleurs compilé"
"Compiler Status","État compilation"
"Compiler include path is disabled.","Chemin vers compilation est désactivé"
"Compiler include path is enabled.","Chemin vers compilation est activé."
"Directory ""%s"" must be writeable","L'annuaire ""%s"" doit être inscriptible"
"Disable","Désactive"
"Disabled","Désactivé"
"Enable","Active"
"Enabled","Activé"
"File ""%s"" must be writeable","Le fichier ""%s"" doit être inscriptible"
"Not Compiled","Non compilé"
"Run Compilation Process","Lancer traitement compilation"
"Scopes Compilation Settings","Paramètres compilation ampleurs"
"System","Système"
"The compilation has completed.","La compilation est terminée"
"Tools","Outils"
