" was not delivered nor scanned","n'a été ni livré, ni scanné"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Par commande"" permet des frais uniques pour une commande entière. ""Par colis"" permet une gestion individuelle de chaque colis."
"1 Day Freight","Fret une journée"
"2 Day","2 jours"
"2 Day AM","2 jours, le matin"
"2 Day Freight","Fret deux jours"
"2Day","2 jours"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","Fret 3 jours"
"3 Day Select","3 Day Select"
"Access ID","Identifiant d'accès"
"Access License Number","Numéro de la licence d'accès"
"Account ID","Identifiant du compte"
"Account Number","Numéro de compte"
"Additional Protection Configuration Value","Valeur de la protection supplémentaire"
"Additional Protection Enabled","Protection supplémentaire activée"
"Additional Protection Min Subtotal","Sous-total de la protection supplémentaire"
"Additional Protection Value","Valeur de la protection supplémentaire"
"Additional Protection Value Rounding Method","Méthode d'arrondi de la valeur de la protection supplémentaire"
"Adult","Adulte"
"Adult Signature Required","Signature d'un adulte requise"
"Allowed Methods","Méthodes autorisées"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Permet de séparer le poids total de la commande en plusieurs parties s'il dépasse %s %s afin d'assurer un calcul précis des frais d'expédition."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Permet de séparer le poids total de la commande en plusieurs parties s'il dépasse 70 kg afin d'assurer un calcul précis des frais d'expédition."
"Bound Printed Matter","Lier l'imprimé"
"Break bulk economy","Tarif économique vrac"
"Break bulk express","Break bulk express"
"Business Service Center","Centre de service aux entreprises"
"Calculate Handling Fee","Calculer les frais de gestion"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Ne peut pas identifier l'unité pour %s"
"Cannot identify weight unit for %s","Impossible d'identifier l'unité de poids pour %s"
"Cannot retrieve shipping rates","Ne peut pas récupérer les frais d'expédition"
"Centimeters","Centimètres"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Conteneur"
"Content Type","Type de contenu"
"Customer Packaging","Conditionnement de l'utilisateur"
"Customer Supplied Package","Colis fourni par le client"
"Customer services","Service client"
"DHL","DHL"
"DHL (Deprecated)","DHL (obsolète)"
"DHL service is not available at %s date","DHL service is not available at %s date"
"Debug","Déboguer"
"Default Package Height","Hauteur du colis par défaut"
