" But cart has some errors.","Mais le panier contient des erreurs."
" Note: Image size affects the performance of your app."," Note: Image size affects the performance of your app."
"""Description"" is more than %d characters long","La ""description"" contient plus de %d caractères"
"""Title"" is more than %d characters long","Le ""titre"" contient plus de %d caractères"
"""id"" attribute is required for a ""%s"" field.","""id"" attribuée est requise pour un champ ""%s""."
"""line_count"" attribute is required for ""multiline"" element.","L'attribut ""compte_ligne"" est requis pour un élément ""multi-ligne""."
"""message"" attribute is required for ""%s"" validator rule.","L'attribut ""message"" est requis pour la règle de validation ""%s""."
"%1$s has been added to your wishlist.","%1$s a été ajouté à votre liste de souhaits."
"%1$s incl tax.","%1$s TTC."
"%@ is not correct","%@ is not correct"
"%s API Key required.","%s clé API requise."
"%s Application ID required.","ID application %s requis."
"%s Secret Key required.","Clé secrète %s requise."
"%s attribute is required.","L'attribut %s est requis."
"%s fields is required","%s fields is required"
"%s has been added to your cart.","%s a été ajouté à votre panier."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclut plus de pays que ceux listés ci-dessous. En tant que propriétaire de l'application, vous êtes responsables pour respecter les lois spécifiques à votre pays par rapport à la distribution ou vente de votre application dans ce pays, y compris votre pays d'origine.)"
"* - field is required","* - field is required"
"*Subject to change","*Sujet à changement"
"1. Please select type of the action:","1. Please select type of the action:"
"10:40 AM","10:40"
"2. Please select a page","2. Please select a page"
"2. Type Category Name","2. Type Category Name"
"2. Type Product Name","2. Type Product Name"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Login</a> pour Urban Airship."
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Une application uniquement consultable (Catalog App) ne supporte pas les fonctions telles que ajouter au panier, ajouter à la liste de souhaits, ou connexion."
"A new password has been sent.","Un nouveau mot de passe a été défini."
"About","About"
"Access forbidden","Access forbidden"
"Account","Compte"
"Account Information","Account Information"
"Account Settings","Account Settings"
"Account confirmation is required. Please check your email for the confirmation link.","Une confirmation du compte est requise. Vous trouverez le lien de confirmation dans l'email qui vous a été envoyé."
"Account information has been saved.","Les informations du compte ont été sauvegardées."
"Action","Action"
"Action type does\'t recognized","Action type does\'t recognized"
"Action type does\'t recognized.","Action type does\'t recognized."
"Action type doesn\'t recognized.","Action type doesn\'t recognized."
"Activate","Activer"
"Activate PayPal Checkout","Activer paiement PayPal"
"Activate PayPal MECL","Activer Paypal BECM"
"Activation Key","Clé d'activation"
"Add","Add"
"Add Action","Add Action"
"Add Address from Contacts","Add Address from Contacts"
"Add App","Ajouter application"
"Add Custom","Add Custom"
"Add New Address","Add New Address"
"Add New Template","Ajouter nouveau modèle"
"Add Page","Ajouter page"
"Add To Wishlist","Add To Wishlist"
"Add a billing address","Add a billing address"
"Add a shipping address","Add a shipping address"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste de souhaits"
"Adding Product to Cart...","Adding Product to Cart..."
"Adding Product to WishList...","Adding Product to WishList..."
"Additional Address","Adresse supplémentaire"
"Additional Info","Additional Info"
"Address","Adresse"
"Address 2","Adresse 2"
"Address Book","Address Book"
"Address Book Updated","Address Book Updated"
"Address Info","Address Info"
"Address book is empty","Address book is empty"
"Address data not specified.","Données d'adresse non spécifiées"
"Address does not belong to this customer.","L'adresse n'est pas celle de ce client."
"Address has been deleted.","L'adresse a été supprimée."
"Address has been saved.","L'adresse a été sauvegardée."
"Admin Application Settings","Admin Application Settings"
"Admin Mobile Application","Admin Mobile Application"
"Admin application has not been enabled","Admin application has not been enabled"
"Administrative contact for this app and for app submission issues.","Contact administratif pour cette application et pour les problèmes de soumission d'applications."
"Advanced Settings","Paramètres avancés"
