"Access denied.","Toegang geweigerd."
"Can not find webservice adapter.","Kan de webservice adapter niet vinden."
"Client Session Timeout (sec.)","Klant Sessie Time out (sec.)"
"Default Response Charset","Karakterset standaard antwoord"
"Email","Email"
"Enable WSDL Cache","Activeer WSDL Cache"
"General Settings","Algemene instellingen"
"Invalid webservice adapter specified.","Ongeldige webdienst adapter gespecificeerd."
"Invalid webservice handler specified.","Ongeldige webservice handler gespecificeerd."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Sectie"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Functies"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Gebruikers"
"Unable to login.","Kan niet inloggen."
"User Name","Gebruikersnaam"
"WS-I Compliance","WS-I naleving"
"Web Services","Web Diensten"
"Your account has been deactivated.","Uw account is gedeactiveerd."
