"%s","%s"
"%s role is a special one and can\'t be changed.","%s functie is bijzonder en kan niet worden veranderd."
"%s role is a special one and can\'t be deleted.","%s functie is bijzonder en kan niet worden verwijderd."
"%s role is protected.","%s functie is beveiligd."
"ACL Attribute Rules","ACL Attribuut Regels"
"ACL Attributes Information","ACL Attributen Informatie"
"Add","Toevoegen"
"Add Admin Role","Voeg Beheerder Functie Toe"
"Add New Role","Nieuwe Rol Toevoegen"
"Address Type","Adrestype"
"Admin","Admin"
"Allow","Toestaan"
"An error occurred while deleting the role.","Er is een fout opgetreden tijdens het verwijderen van de functie."
"An error occurred while saving attribute rules.","Er is een fout opgetreden tijdens het opslaan van de attribuut regels."
"An error occurred while saving role.","Er is een fout opgetreden tijdens het opslaan van de functie."
"Api Rules Information","Api Regels Informatie"
"Assigned","Toegewezen"
"Associate to Website","Koppel aan Website"
"Attribute Rules Information","Attribuut Regels Informatie"
"Attribute Set","Attributenset"
"Attributes","Attributen"
"Automatically Return Credit Memo Item to Stock","Retourneer automatisch het krediet memo product aan de vooraad"
"Back","Terug"
"Backorders","Nabestellingen"
"Base Currency","Basis Munteenheid"
"Base Customer Balance","Basis Consument Saldo"
"Base Discount","Basis Korting"
"Base Discount Amount","Basis Kortingsbedrag"
"Base Item Subtotal","Basis Artikel Subtotaal"
"Base Item Subtotal Including Tax","Basis Artikel Subtotaal Inclusief BTW"
"Base Original Price","Basis Oorspronkelijke Prijs"
"Base Price","Basisprijs"
"Base Price Including Tax","Basisprijs Inclusief BTW"
"Base Shipping","Basis Verzendkosten"
"Base Shipping Discount","Basis Verzendkosten Korting"
"Base Shipping Tax","Basis Verzendkosten BTW"
"Base Subtotal","Basis Subtotaal"
"Base Subtotal Including Tax","Basis Subtotaal Inclusief BTW"
"Base Tax Amount","Basis BTW-bedrag"
"Base Total Due","Basis Totaal Bedrag"
"Base Total Paid","Basis Totaal Betaald"
"Base Total Refunded","Basis Totaal Terugbetaald"
"Buy Now URL","Nu Kopen URL"
"Can Be Divided into Multiple Boxes for Shipping","Kan Worden Onderverdeeld in Meerdere Dozen voor Verzending"
"Canceled Qty","Geannuleerd Aantal"
"Catalog","Catalogus"
"Catalog Product","Catalogus Product"
"CatalogInventory","Winkel inventaris"
"Category ID","Categorie ID"
"City","Stad"
"Company","Bedrijf"
"Country","Land"
"Coupon Code","Kortingsboncode"
"Create","Creëren"
"Create Permanent Redirect for old URL","Creëer Permanente Omleiding voor oude URL"
"Created From","Gemaakt Van"
"Customer","Klant"
"Customer Address","Klantadres"
"Customer Address ID","Consument Adres ID"
"Customer Balance","Saldo Klant"
"Customer First Name","Voornaam Klant"
"Customer ID","Klant ID"
"Customer Last Name","Klant Achternaam"
"Customer Middle Name","Consument Tussenvoegsel"
"Customer Prefix","Consument Voorvoegsel"
"Customer Suffix","Consument Achternaam"
"Default Image","Standaard Afbeelding"
"Delete","Verwijderen"
"Deny","Weigeren"
"Disable automatic group change based on VAT ID","Schakel automatische groep wijziging op basis van BTW-nummer uit"
"Discount","korting"
"Discount Amount","Kortingsbedrag"
"Discount Description","Korting Beschrijving"
"Edit","Bewerken"
"Edit %s ACL attribute rules","Bewerk %s ACL attribuut regels"
"Edit Role","Bewerk Rol"
"Edit attribute rules for %s Role","Bewerk attribuut regels voor Functie %s"
"Email","Email"
"Enable Qty Increments","Sta groeitoename in hoeveelheid toe"
"Exclude","Sluit Uit"
"File Content","Bestandsinhoud"
"File MIME Type","Bestand MIME Type"
"File Name","Bestandsnaam"
"Final Price With Tax","Eindbedrag Inclusief BTW"
"Final Price Without Tax","Eindbedrag Exclusief BTW"
"First Name","Voornaam"
"Gift Message","Cadeauboodschap"
"Grand Total","Groot Totaal"
"Grand Total to Be Charged","Aan te Rekenen Eindtotaal"
"Group","Groep"
"Guest","Gast"
"Has Custom Options","Heeft Aangepaste Opties"
"ID","ID"
"Inventory Data","Voorraadgegevens"
"Invoiced Qty","Gefactureerd Aantal"
"Is Confirmed","Is Bevestigd"
"Is Default Billing Address","Is Standaard Factuuradres"
"Is Default Shipping Address","Is Standaard Afleveradres"
"Item ID","Product ID"
"Item Subtotal","Product Subtotaal"
"Item Subtotal Including Tax","Product Subtotaal Inclusief BTW"
"Label","Label"
"Last Logged In","Laatste Keer Ingelogd"
"Last Name","Achternaam"
"Low Stock Date","Datum Weinig Voorraad"
"Manage Stock","Beheer voorraad"
"Maximum Qty Allowed in Shopping Cart","Maximale hoeveelheid toegestaan in winkelwagen"
"Minimum Qty Allowed in Shopping Cart","Minimale hoeveelheid toegestaan in winkelwagen"
"New Role","Nieuwe Rol"
"Notify for Quantity Below","Bericht bij hoeveelheid minder dan"
"OAuth","OAuth"
"Order","Bestelling"
"Order Addresses","Bestelling Adressen"
"Order Comments","Opmerkingen over de Bestellingen"
"Order Currency","Bestelling Valuta"
"Order Date","Datum van de Bestelling"
"Order ID","ID Bestelling"
"Order ID (internal)","Bestelling ID (intern)"
"Order Item ID","Bestelling Product ID"
"Order Items","Bestelling Product"
"Order Status","Bestelling Status"
"Ordered Qty","Besteld Aantal"
"Orders","Bestellingen"
"Original Price","Originele prijs"
"Parent Order Item ID","Bovenliggend Bestelling Product ID"
"Payment Method","Betalingsmethode"
"Phone Number","Telefoonnummer"
"Placed from IP","Geplaatst van IP"
"Please enter a valid number in ""max_sale_qty"" field","Vul een geldig nummer in ""max_sale_qty"" veld"
"Please enter a valid number in ""min_qty"" field","Vul een geldig nummer in ""min_qty"" veld"
"Please enter a valid number in ""min_sale_qty"" field","Vul een geldig nummer in ""min_sale_qty"" veld"
"Please enter a valid number in ""notify_stock_qty"" field","Vul een geldig aantal in ""notify_stock_qty"" veld"
"Please use numbers only in ""category_id"" field.","Gebruik alleen getallen in ""category_id"" veld."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Gebruik alleen getallen in ""qty_increments"" veld. Vermijd spaties of andere tekens zoals punten of komma's."
"Position","Positie"
"Price","Prijs"
"Price Including Tax","Prijs Inclusief BTW"
"Product","Product"
"Product Category","Product Categorie"
"Product ID","Product Identificatie"
"Product Image","Product Afbeelding"
"Product Type","Product Type"
"Product URL","Product URL"
"Product Website","Product Website"
"Product and Custom Options Name","Product en Aangepaste Opties Naam"
"Qty","hoeveelheid"
"Qty Increments","Hoeveelheid groeitoename"
"Qty Uses Decimals","Hoeveelheid Gebruikt Decimalen"
"Qty for Item's Status to Become Out of Stock","Aantal voor Artikelstatus wordt Niet op voorraad"
"REST - Attributes","REST - Attributen"
"REST - Roles","REST - Functies"
"REST ACL Attributes","REST ACL attributen"
"REST Attributes","REST Attributen"
"REST Role","REST Functies"
"REST Roles","REST Functies"
"REST Roles Information","REST Functies Informatie"
"Read","Lezen"
"Refunded Qty","Restitutie Hoeveelheid"
"Regular Price With Tax","Normale Prijs Inclusief BTW"
"Regular Price Without Tax","Normale Prijs Exclusief BTW"
"Rest Roles","Rest Functies"
"Retrieve","Ophalen"
"Role ""%s"" no longer exists","Functie ""%s"" bestaat niet meer"
"Role ""%s"" not found.","Functie ""%s"" niet gevonden."
"Role API Resources","Functie API Resources"
"Role Info","Rol Informatie"
"Role Information","Rolinformatie"
"Role Name","Rolnaam"
"Role Users","Rol gebruikers"
"Role has been deleted.","Functie is verwijderd."
"Roles","Rollen"
"SKU","SKU"
"Salability Status","Verkoopbaarheid Status"
"Sales","Verkoop"
"Save","Opslaan"
"Shipped Qty","Verzonden Aantal"
"Shipping Amount","Verzendingskosten"
"Shipping Discount","Verzendkorting"
"Shipping Including Tax","Verzendkosten Inclusief Belasting"
"Shipping Method","Bezorgmethode"
"Shipping Tax","Verzendkosten BTW"
"State","Provincie"
"Stock Availability","Voorraad beschikbaarheid"
"Stock ID","Voorraad ID"
"Stock Item","Voorraad Product"
"Stock Status","Voorraadstatus"
"Store Currency to Order Currency Rate","Winkel Valuta naar Bestelling Valuta Tarief"
"Store Name","Winkel Naam"
"Street","Straat"
"Subtotal","Subtotaal"
"Subtotal Including Tax","Subtotaal inclusief Belasting"
"System","Systeem"
"Tax Amount","BTW Bedrag"
"Tax Name","BTW Naam"
"Tax Percent","Belastingspercentage"
"Tax Rate","Belastingniveau"
"The ""enable_qty_increments"" field must be set to 0 or 1.","De ""enable_qty_increments"" veld moet worden ingesteld op 0 of 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","De ""is_decimal_divided"" veld moet worden ingesteld op 0 of 1."
"The ""is_in_stock"" field must be set to 0 or 1.","De ""is_in_stock"" veld moet worden ingesteld op 0 of 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Het ""is_qty_decimal"" veld moet worden ingesteld op 0 of 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Het ""is_qty_decimal"" veld moet worden ingesteld op 0, 1, of 2."
"The ""manage_stock"" field must be set to 0 or 1.","Het ""manage_stock"" veld moet worden ingesteld op 0 of 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Het ""stock_status_changed_auto"" veld moet worden ingesteld op 0 of 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Het ""use_config_backorders"" veld moet worden ingesteld op 0 of 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Het ""use_config_enable_qty_inc"" veld moet worden ingesteld op 0 of 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Het ""use_config_manage_stock"" veld moet worden ingesteld op 0 of 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Het ""use_config_max_sale_qty"" veld moet worden ingesteld op 0 of 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Het ""use_config_min_qty"" veld moet worden ingesteld op 0 of 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Het ""use_config_min_sale_qty"" veld moet worden ingesteld op 0 of 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Het ""use_config_notify_stock_qty"" veld moet worden ingesteld op 0 of 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Het ""use_config_qty_increments"" veld moet worden ingesteld op 0 of 1."
"The attribute rules were saved.","De attribuut regels zijn opgeslagen."
"The role has been saved.","De rol is bewaard."
"The role is a special one and not for assigning it to admin users.","De Functie is een bijzondere en niet om aan beheerder gebruikers toe te wijzen."
"Total Due","Totaalbedrag verwacht"
"Total Paid","Totaal Betaald"
"Total Refunded","Totaal Terugbetaalde"
"Total Reviews Count","Totaal Aantal Beoordelingen"
"Type","Type"
"URL","URL"
"Update","Update"
"Use Config Settings for Allow Gift Message","Gebruik Configuratie Instellingen om Cadeauberichten toe te staan"
"Use Config Settings for Allow Gift Wrapping","Gebruik Configuratie Instellingen om Cadeau Inpakken toe te staan"
"Use Config Settings for Backorders","Gebruik Configuratie Instellingen voor Nabestellingen"
"Use Config Settings for Enable Qty Increments","Gebruik Configuratie Instellingen om Schakel Aantal Verhogingen In toe te staan"
"Use Config Settings for Manage Stock","Gebruik Configuratie Instellingen voor Beheer Voorraad"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Gebruik Configuratie Instellingen voor Maximum Aantal in Winkelwagen"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Gebruik Configuratie Instellingen voor Minimum Aantal in Winkelwagen"
"Use Config Settings for Notify for Quantity Below","Gebruik Configuratie Instellingen voor Meld de Hoeveelheid Hieronder"
"Use Config Settings for Qty Increments","Gebruik Configuratie Instellingen voor Aantal Verhogingen"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Gebruik Configuratie Instellingen voor Aantal voordat Product Status Niet Op Voorraad is"
"User Type","Gebruikerstype"
"User type ""%s"" no longer exists","Type gebruiker ""%s"" bestaat niet meer"
"User type ""%s"" not found.","Type gebruiker ""%s"" niet gevonden."
"Web Services","Web Diensten"
"Web services","Web diensten"
"Write","Schrijven"
"ZIP/Postal Code","Postcode"
