"Collected Files Count","Aantal verzamelde bestanden"
"Compilation","Compilatie"
"Compilation State","Compilatiestaat"
"Compilation error","Compilatiefout"
"Compiled","Gecompileerd"
"Compiled Scopes Count","Aantal gecompileerde scopes"
"Compiler Status","Compiler status"
"Compiler include path is disabled.","Compiler include path is uitgeschakeld."
"Compiler include path is enabled.","Compiler include path is ingeschakeld."
"Directory ""%s"" must be writeable","Directory ""%s"" moet beschrijfbaar zijn"
"Disable","Uitschakelen"
"Disabled","Uitgeschakeld"
"Enable","Inschakelen"
"Enabled","Werkzaam gemaakt"
"File ""%s"" must be writeable","Bestand ""%s"" moet beschrijfbaar zijn"
"Not Compiled","Niet gecompileerd"
"Run Compilation Process","Compilatieproces runnen"
"Scopes Compilation Settings","Scopes compilatieinstellingen"
"System","Systeem"
"The compilation has completed.","De compilatie is voltooid."
"Tools","Hulpmiddelen"
