"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' is te lang. Het moet een lengte hebben %min% symbolen."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' is te kort. Het moet een lengte hebben %min% symbolen."
"* Required Fields","* Vereiste velden"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> requests access to your account"
"Admin","Admin"
"After authorization application will have access to you account.","After authorization application will have access to you account."
"An error occurred on confirm authorize.","Er is een fout opgetreden tijdens de bevestiging van de autorisatie."
"An error occurred on delete action.","Er is een fout opgetreden tijdens de verwijder actie."
"An error occurred on delete application.","Er is een fout opgetreden tijdens het verwijderen van de toepassing."
"An error occurred on reject authorize.","Er is een fout opgetreden tijdens het afwijzen van de autorisatie."
"An error occurred on saving consumer data.","Er is een fout opgetreden tijdens het opslaan van de consumentengegevens."
"An error occurred on update revoke status.","Er is een fout opgetreden tijdens het wijzigen van de status intrekken."
"An error occurred while deleting the consumer.","Er is een fout opgetreden tijdens het verwijderen van de consument."
"An error occurred.","Er is een fout opgetreden."
"An error occurred. Your authorization request is invalid.","Er is een fout opgetreden. Uw autorisatie verzoek is ongeldig."
"App Name","App Naam"
"Application ""%s"" has been deleted.","Toepassing ""%s"" is verwijderd."
"Application ""%s"" has been enabled.","Toepassing ""%s"" is ingeschakeld."
"Application ""%s"" has been revoked.","Toepassing ""%s"" is ingetrokken."
"Application Name","Naam toepassing"
"Application not found.","Toepassing niet gevonden."
"Are you sure you want to delete this application?","Weet u zeker dat u deze toepassing wilt verwijderen?"
"Are you sure you want to disable this application?","Weet u zeker dat u deze toepassing wilt verwijderen?"
"Are you sure you want to enable this application?","Weet u zeker dat u deze toepassing mogelijk wilt maken?"
"Authorization confirmed","Authorization confirmed"
"Authorization confirmed.","Autorisatie bevestigd."
"Authorize","Authorize"
"Authorize application","Authorize application"
"Authorized Tokens","Geautoriseerde Tokens"
"Callback URL","Callback URL"
"Cleanup Probability","Opschonings Waarschijnlijkheid"
"Cleanup Settings","Opschonings Instellingen"
"Close","Sluiten"
"Confirm OAuth token authorization","Bevestig OAuth token autorisatie"
"Confirm token authorization Pop Up for admin","Confirm token authorization Pop Up for admin"
"Confirm token authorization for admin","Confirm token authorization for admin"
"Confirmation Of Authorization","Confirmation Of Authorization"
"Consumer Information","Consumenteninformatie"
