" But cart has some errors.","Maar de winkelwagen heeft wat fouten."
" Note: Image size affects the performance of your app."," Note: Image size affects the performance of your app."
"""Description"" is more than %d characters long","""Description"" is langer dan %d tekens"
"""Title"" is more than %d characters long","""Title"" is langer dan %d tekens"
"""id"" attribute is required for a ""%s"" field.","""id"" attribuut is vereist voor een ""%s"" veld."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" attribuut is nodig voor een element dat bestaat uit meerdere regels."
"""message"" attribute is required for ""%s"" validator rule.","""message"" attribuut is vereist voor ""%s"" validatieregel."
"%1$s has been added to your wishlist.","%1$s is toegevoegd aan uw verlanglijst."
"%1$s incl tax.","%1$s incl. BTW."
"%@ is not correct","%@ is not correct"
"%s API Key required.","%s API Key vereist."
"%s Application ID required.","%s Toepassing ID vereist."
"%s Secret Key required.","%s Geheime Sleutel vereist."
"%s attribute is required.","%s attribuut is vereist."
"%s fields is required","%s fields is required"
"%s has been added to your cart.","%S is toegevoegd aan uw winkelwagen."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Bevat meer landen dan hieronder aangegeven. U bent als eigenaar van de applicatie verantwoordelijk zich te schikken naar land-specifieke wetten gerelateerd aan de distributie of verkoop van uw applicatie in dat land, inclusief uw thuisland.)"
"* - field is required","* - field is required"
"*Subject to change","*Wijzigingen voorbehouden"
"1. Please select type of the action:","1. Please select type of the action:"
"10:40 AM","10:40 uur"
"2. Please select a page","2. Please select a page"
"2. Type Category Name","2. Type Category Name"
"2. Type Product Name","2. Type Product Name"
"80px x 80px","80 x 80 pixels"
"80x80 px","80 x 80 pixels"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Login</a> op Urabn Airship."
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Een Catalog Only App ondersteund functies als voeg toe aan winkelwagen, voeg toe aan verlanglijst, of login niet."
"A new password has been sent.","Een nieuw wachtwoord is verstuurd."
"About","About"
"Access forbidden","Access forbidden"
"Account","Account"
"Account Information","Account Information"
"Account Settings","Account Settings"
"Account confirmation is required. Please check your email for the confirmation link.","Account verificatie is vereist. Controleer uw e-mail voor de bevestigingslink."
"Account information has been saved.","Account informatie is opgeslagen."
"Action","Actie"
"Action type does\'t recognized","Action type does\'t recognized"
"Action type does\'t recognized.","Action type does\'t recognized."
"Action type doesn\'t recognized.","Action type doesn\'t recognized."
"Activate","Activeer"
"Activate PayPal Checkout","Activeer PayPal Uitchecken"
"Activate PayPal MECL","Activeer PayPal MECL"
"Activation Key","Activatie Sleutel"
"Add","Add"
"Add Action","Add Action"
"Add Address from Contacts","Add Address from Contacts"
"Add App","App Toevoegen"
"Add Custom","Add Custom"
"Add New Address","Add New Address"
"Add New Template","Nieuw Sjabloon Toevoegen"
