" Select Shipping Method","Selecione a forma de envio"
"<br/>Trace confirmation request:<br/>%s","<br/>Rastrear pedido de confirmação:<br/>%s"
"Access Key","Chave de acesso"
"Access Key ID","ID da chave de acesso"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Aviso de erro no Amazon Simple Pay"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Erro na confirmação de recebimento do serviço Amazon Simple Pay: o total no pedido de confirmação não é igual ao total do pedido."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Erro na confirmação de recebimento do serviço Amazon Simple Pay: o total na fatura existente não coincide com o total no pedido de confirmação."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Erro na confirmação de recebimento do serviço Amazon Simple Pay: o ID da transação existente não coincide com o ID da transação no pedido de confirmação."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Confirmação de recebimento do serviço Amazon Simple Pay. A fatura foi criada automaticamente."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Erro na confirmação do serviço Amazon Simple Pay: violação na sequência dos estados do pedido."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Erro na confirmação do serviço Amazon Simple Pay: a moeda do pedido não coincide com a moeda do pedido IPN."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Erro na confirmação do serviço Amazon Simple Pay: o pedido especificado no pedido IPN não pode ser encontrado."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Erro na confirmação do serviço Amazon Simple Pay: o método de pagamento no pedido não é Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","O serviço Amazon Simple Pay confirmou o recebimento para a fatura %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","O serviço Amazon Simple Pay confirmou o reembolso para a nota de crédito %s."
"Amazon Simple Pay service has confirmed amount authorization.","O serviço Amazon Simple Pay confirmou a autorização do total."
"Amazon Simple Pay service has confirmed cancelation.","O serviço Amazon Simple Pay confirmou o cancelamento."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","O serviço Amazon Simple Pay confirmou o recebimento para a fatura %s. A fatura foi recebida automaticamente."
"Amazon Simple Pay service has confirmed capture initiation.","O serviço Amazon Simple Pay confirmou a iniciação do recebimento."
"Amazon Simple Pay service has confirmed capture.","O serviço Amazon Simple Pay confirmou o recebimento."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","O serviço Amazon Simple Pay confirmou o recebimento do pagamento. A fatura %s foi criada automaticamente após a confirmação."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","O serviço Amazon Simple Pay confirmou o recebimento do pagamento. Uma fatura foi criada automaticamente."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","O serviço Amazon Simple Pay confirmou o reembolso do pagamento. A nota de crédito %s foi criada automaticamente após a confirmação."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","O serviço Amazon Simple Pay confirmou o reembolso do pagamento. Uma nota de crédito foi criada automaticamente."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","O serviço Amazon Simple Pay confirmou o reembolso do pagamento. A nota de crédito foi criada automaticamente."
"Amazon Simple Pay service has confirmed refund.","O serviço Amazon Simple Pay confirmou o reembolso."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","O serviço Amazon Simple Pay confirmou o reembolso. A nota de crédito foi processada automaticamente."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","O serviço Amazon Simple Pay confirmou o reembolso na nota de crédito %s. A nota de crédito foi processada automaticamente."
"Amazon Simple Pay service is not available. Payment was not processed.","O serviço Amazon Simple Pay não está disponível. O pagamento não foi processado."
"Amazon Simple Pay service payment confirmation has failed.","Falha na confirmação de pagamento do serviço Amazon Simple Pay."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Erro na confirmação de reembolso do serviço Amazon Simple Pay; o total na nota de crédito existente não coincide com o total no pedido de confirmação."
