"%s","%s"
"%s role is a special one and can\'t be changed.","O papel % é especial e não pode ser alterado."
"%s role is a special one and can\'t be deleted.","O papel % é especial e não pode ser apagado."
"%s role is protected.","O papel % é protegido."
"ACL Attribute Rules","Regras de Atributo ACL"
"ACL Attributes Information","Informações de Atributos ACL"
"Add","Adicionar"
"Add Admin Role","Adicionar Função de Administrador"
"Add New Role","Adicionar nova função"
"Address Type","Tipo de endereço"
"Admin","Admin"
"Allow","Permitir"
"An error occurred while deleting the role.","Ocorreu um erro ao deletar a função."
"An error occurred while saving attribute rules.","Ocorreu um erro ao salvar as regras dos atributos."
"An error occurred while saving role.","Ocorreu um erro ao salvar a função."
"Api Rules Information","Informações das regras API"
"Assigned","Atribuído"
"Associate to Website","Associar ao site"
"Attribute Rules Information","Informações das regras de atributo"
"Attribute Set","Conjunto de Atributos"
"Attributes","Atributos"
"Automatically Return Credit Memo Item to Stock","Retornar Automaticamente a Nota de Crédito do Item para o Estoque"
"Back","Voltar"
"Backorders","Ordens em Atraso"
"Base Currency","Moeda Padrão"
"Base Customer Balance","Balanço do cliente base"
"Base Discount","Disconto de base"
"Base Discount Amount","Total do desconto de base"
"Base Item Subtotal","Subtotal do item de base"
"Base Item Subtotal Including Tax","Subtotal do item de base incluindo taxas"
"Base Original Price","Preço original de base"
"Base Price","Preço de base"
"Base Price Including Tax","Preço de base incluindo taxas"
"Base Shipping","Envio de base"
"Base Shipping Discount","Desconto do envio de base"
"Base Shipping Tax","Taxa do envio de base"
"Base Subtotal","Subtotal de base"
"Base Subtotal Including Tax","Subtotal de base incluindo taxa"
"Base Tax Amount","Total da taxa de base"
"Base Total Due","Total de base devido"
"Base Total Paid","Total de base pago"
"Base Total Refunded","Total de base reembolsado"
"Buy Now URL","URL Compre Agora"
"Can Be Divided into Multiple Boxes for Shipping","Pode ser dividido em várias caixas para envio"
"Canceled Qty","QTD cancelada"
"Catalog","Catálogo"
"Catalog Product","Catalogar produto"
"CatalogInventory","Catalogar inventário"
"Category ID","ID de categoria"
"City","Cidade"
"Company","Companhia"
"Country","País"
"Coupon Code","Código do cupom"
"Create","Criar"
"Create Permanent Redirect for old URL","Criar Redirecionamento Permanente para antiga URL"
"Created From","Criado a partir de"
"Customer","Cliente"
"Customer Address","Endereço do cliente"
"Customer Address ID","ID do endereço do cliente"
"Customer Balance","Saldo do cliente"
"Customer First Name","Primeiro Nome do Cliente"
"Customer ID","ID do Cliente"
"Customer Last Name","Último Nome do Cliente"
"Customer Middle Name","Nome do meio do cliente"
"Customer Prefix","Prefixo do cliente"
"Customer Suffix","Sufixo do cliente"
"Default Image","Imagem padrão"
"Delete","Excluir"
"Deny","Negar"
"Disable automatic group change based on VAT ID","Desativar mudança de grupo automática baseado no ID do VAT"
"Discount","Desconto"
"Discount Amount","Quantia de Desconto"
"Discount Description","Descrição do desconto"
"Edit","Editar"
"Edit %s ACL attribute rules","Editar regras do atributo ACL %s"
"Edit Role","Editar funçõa"
"Edit attribute rules for %s Role","Editar regras de atributo para a função %s"
"Email","E-mail"
"Enable Qty Increments","Habilitar Incrementos na Qtde."
"Exclude","Excluir"
"File Content","Conteúdo do arquivo"
"File MIME Type","Tipo MIME do arquivo"
"File Name","Nome do arquivo"
"Final Price With Tax","Preço final com impostos"
"Final Price Without Tax","Preço final sem imposto"
"First Name","Primeiro nome"
"Gift Message","Mensagem de presente"
"Grand Total","Total geral"
"Grand Total to Be Charged","Total geral a ser cobrado"
"Group","Grupo"
"Guest","Convidado"
"Has Custom Options","Tem opções de consumo"
"ID","Identidade"
"Inventory Data","Dados de inventário"
"Invoiced Qty","QTD faturada"
"Is Confirmed","Está confirmado"
"Is Default Billing Address","É o endereço de cobrança padrão"
"Is Default Shipping Address","É o endereço de cobrança padrão"
"Item ID","ID do item"
"Item Subtotal","Subtotal do item"
"Item Subtotal Including Tax","Subtotal do item incluindo imposto"
"Label","Etiqueta"
"Last Logged In","Último login em"
"Last Name","Último nome"
"Low Stock Date","Data da baixa"
"Manage Stock","Gerenciar Estoque"
"Maximum Qty Allowed in Shopping Cart","Qtde. Máxima Permitida no Carrinho"
"Minimum Qty Allowed in Shopping Cart","Qtde Mínima Permitida no Carrinho de Compras"
"New Role","Nova Função"
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"OAuth","OAuth"
"Order","Pedido"
"Order Addresses","Endereços do pedido"
"Order Comments","Comentários do pedido"
"Order Currency","Moeda do pedido"
"Order Date","Data do pedido"
"Order ID","ID da Ordem"
"Order ID (internal)","ID do pedido (interno)"
"Order Item ID","ID de item do pedido"
"Order Items","Items do pedido"
"Order Status","Status do pedido"
"Ordered Qty","QTD pedida"
"Orders","Ordens"
"Original Price","Preço Original"
"Parent Order Item ID","ID do item do pedido parente"
"Payment Method","Método de Pagamento"
"Phone Number","Número de telefone"
"Placed from IP","Situado no IP"
"Please enter a valid number in ""max_sale_qty"" field","Por favor, digite um número válido no campo ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Por favor, digite um número válido no campo ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Por favor, digite um número válido no campo ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Por favor, digite um número válido no campo ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Por favor, use apenas números no campo ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Por favor, use apenas números no campo ""qty_increments"". Por favor, evite espaços ou outros caracteres especiais como pontos ou vírgulas."
"Position","Posição"
"Price","Preço"
"Price Including Tax","Preço incluindo impostos"
"Product","Produto"
"Product Category","Categoria do produto"
"Product ID","ID do Produto"
"Product Image","Imagem do produto"
"Product Type","Tipo de Produto"
"Product URL","URL do produto"
"Product Website","Site do produto"
"Product and Custom Options Name","Nome do produto e das opções do cliente"
"Qty","Quant."
"Qty Increments","Incrementos de Quantidade"
"Qty Uses Decimals","Qtde: Usa Decimais"
"Qty for Item's Status to Become Out of Stock","Quant. para Status do Item mudar para Fora de Estoque"
"REST - Attributes","REST - Atributos"
"REST - Roles","REST - Funções"
"REST ACL Attributes","REST Atributos ACL"
"REST Attributes","REST Atributos"
"REST Role","REST Função"
"REST Roles","Funções REST"
"REST Roles Information","REST Informações das Funções"
"Read","Ler"
"Refunded Qty","QTD reembolsada"
"Regular Price With Tax","Preço regular com impostos"
"Regular Price Without Tax","Preço regular sem impostos"
"Rest Roles","Funções Rest"
"Retrieve","Recuperar"
"Role ""%s"" no longer exists","A função ""%s"" não existe mais"
"Role ""%s"" not found.","Função ""%s"" não encontrada."
"Role API Resources","Recursos da função API"
"Role Info","Informação de Função"
"Role Information","Informação de Função"
"Role Name","Nome de Função"
"Role Users","Usuários de Função"
"Role has been deleted.","A função foi apagada."
"Roles","Funções"
"SKU","Unidade de Manutenção de Estoque"
"Salability Status","Status da vendabilidade"
"Sales","Vendas"
"Save","Salvar"
"Shipped Qty","QTD enviada"
"Shipping Amount","Valor do Frete"
"Shipping Discount","Desconto no envio"
"Shipping Including Tax","Envio incluindo impostos"
"Shipping Method","Tipo de Frete"
"Shipping Tax","Imposto do envio"
"State","Estado"
"Stock Availability","Disponibilidade de Estoque"
"Stock ID","ID do estoque"
"Stock Item","Item do estoque"
"Stock Status","Estado de Estoque"
"Store Currency to Order Currency Rate","Moeda da loja para taxa de moeda do pedido"
"Store Name","Nome da Loja"
"Street","Rua"
"Subtotal","Subtotal"
"Subtotal Including Tax","Subtotal incluindo imposto"
"System","Sistema"
"Tax Amount","Valor do Imposto"
"Tax Name","Nome de imposto"
"Tax Percent","Porcentagem de Imposto"
"Tax Rate","Taxa de Imposto"
"The ""enable_qty_increments"" field must be set to 0 or 1.","O campo ""enable_qty_increments"" deve ser marcado com 0 ou 1"
"The ""is_decimal_divided"" field must be set to 0 or 1.","O campo ""is_decimal_divided"" deve ser marcado com 0 ou 1."
"The ""is_in_stock"" field must be set to 0 or 1.","O campo ""is_in_stock"" deve ser marcado com 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","O campo ""is_qty_decimal"" deve ser marcado com 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","O campo ""is_qty_decimal"" deve ser marcado com 0, 1 ou 2."
"The ""manage_stock"" field must be set to 0 or 1.","O campo ""manage_stock"" deve ser marcado com 0 ou 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","O campo ""stock_status_changed_auto"" deve ser marcado com 0 ou 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","O campo ""use_config_backorders"" deve ser marcado com 0 ou 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","O campo ""use_config_enable_qty_inc"" deve ser marcado com 0 ou 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","O campo ""use_config_manage_stock"" deve ser marcado com 0 ou 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","O campo ""use_config_max_sale_qty"" deve ser marcado com 0 ou 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","O campo ""use_config_min_qty"" deve ser marcado com 0 ou 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","o campo ""use_config_min_sale_qty"" deve ser marcado como 0 ou 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","O campo ""use_config_notify_stock_qty"" deve ser marcado com 0 ou 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","O campo ""use_config_qty_increments"" deve ser marcado com 0 ou 1."
