"%s file does not exists or is not readable","O arquivo % não existe ou não é legível"
"-- Please Select --","- Por Favor Selecione -"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptador deve ser uma instância de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","O objeto adaptador deve ser um exemplo de %s"
"Adapter type must be a non empty string","Tipo de adaptador deve ser uma sequência não vazia"
"Append Complex Data","Anexar Dados Complexos"
"Attribute Code","Código do Atributo"
"Attribute Label","Etiqueta do Atributo"
"Attribute does not has options, so filtering is impossible","O atributo não tem opções, portanto a filtragem é impossível"
"Begin data validation","Começar validação de dados"
"Begin export of %s","Começar importação de %s"
"Begin import of ""%s"" with ""%s"" behavior","Começar importação de ""%s"" com comportamento ""%s"""
"CSV","CSV"
"Can not determine attribute filter type","Não pode determinar o tipo de atributo de filtro"
"Can not find required columns: %s","Não pode encontrar colunas exigidas: %s"
"Cannot get autoincrement value","Não foi possível obter valor de auto-incremento"
"Check Data","Verificar Dados"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Linhas checadas: %d, entidades checadas: %d, linhas inválidas: %d, erros totais: %d"
"Column names have duplicates","Nomes de coluna têm duplicados"
"Column names is empty or is not an array","Nomes de coluna estão vazios ou não em série"
"Column names: ""%s"" are invalid","Nomes de colunas: ""%s"" são inválidos"
"Customers","Clientes"
"Data is invalid or file is not uploaded","Dados são inválidos ou arquivo não está carregado"
"Delete Entities","Apagar entidades"
"Destination directory is not writable","Diretório de destino não é gravável"
"Destination file is not writable","Arquivo de destino não é gravável"
"Destination file path must be a string","Caminho do arquivo de destino deve ser uma sequência"
"Done import data validation","Validação de importação de dados feita"
"Duplicate Unique Attribute for '%s'","Duplicar atributo único para '%s'"
"Entity Type","Tipo de entidade"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Objeto de adaptador de entidade deve ser um exemplo de Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Objeto adaptador da entidade deve ser uma instância de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entidade desconhecida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Modelo de tipo de entidade deve ser uma instância de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Modelo de tipo de entidade deve ser uma instância de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erro na estrutura de dados: os comportamentos estão misturados"
"Error in data structure: entity codes are mixed","Erro na estrutura de dados: os códigos de entidade estão misturados"
"Errors limit (%d) reached. Please fix errors and re-upload file","Limite de erros (%d) alcançado. Por favor, conserte os erros e faça o upload do arquivo novamente"
