"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' é muito longo. Ele deve ter no máximo %min% caracteres."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' é muito curto. Ele deve ter pelo menos %min% caracteres."
"* Required Fields","* Campos obrigatórios"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> pede acesso à sua conta"
"Admin","Admin"
"After authorization application will have access to you account.","Após a autorização, o aplicativo terá acesso à sua conta."
"An error occurred on confirm authorize.","Ocorreu um erro ao confirmar a autorização."
"An error occurred on delete action.","Ocorreu um erro ao apagar a ação."
"An error occurred on delete application.","Ocorreu um erro ao apagar o aplicativo."
"An error occurred on reject authorize.","Ocorreu um erro ao rejeitar a autorização."
"An error occurred on saving consumer data.","Ocorreu um erro ao salvar os dados do cliente."
"An error occurred on update revoke status.","Ocorreu um erro ao atualizar o status do cancelamento."
"An error occurred while deleting the consumer.","Ocorreu um erro ao deletar o cliente."
"An error occurred.","Ocorreu um erro."
"An error occurred. Your authorization request is invalid.","Ocorreu um erro. Seu pedido de autorização é inválido."
"App Name","Nome da Aplicação"
"Application ""%s"" has been deleted.","O aplicativo ""%s"" foi apagado."
"Application ""%s"" has been enabled.","O aplicativo ""%s"" foi ativado."
"Application ""%s"" has been revoked.","O aplicativo ""%s"" foi cancelado."
"Application Name","Nome da Aplicação"
"Application not found.","Aplicativo não encontrado."
"Are you sure you want to delete this application?","Tem certeza que quer apagar este aplicativo?"
"Are you sure you want to disable this application?","Tem certeza que quer desativar este aplicativo?"
"Are you sure you want to enable this application?","Tem certeza que quer ativar este aplicativo?"
"Authorization confirmed","Autorização confirmada."
"Authorization confirmed.","Autorização confirmada."
"Authorize","Autorizar"
"Authorize application","Autorizar aplicativo"
"Authorized Tokens","Tokens autorizados"
"Callback URL","URL de retorno"
"Cleanup Probability","Probabilidade de lucro"
"Cleanup Settings","Configurações de lucro"
"Close","Fechar"
"Confirm OAuth token authorization","Confirmar autorização OAuth"
"Confirm token authorization Pop Up for admin","Confirmar pop-up de autorização de token para administrador"
"Confirm token authorization for admin","Confirmar autorização de token para administrador"
"Confirmation Of Authorization","Confirmação de autorização"
"Consumer Information","Informações do cliente"
"Consumer Name","Nome do cliente"
"Consumers","Clientes"
"Created At","Criada Em"
"Customer","Cliente"
"Customer My Account My OAuth Applications","Cliente Minha Conta Meus Aplicativos OAuth"
"Delete","Excluir"
"Disable","Desativar"
"Disabled","Desativado"
"Edit","Editar"
"Edit Consumer","Editar cliente"
"Email","E-mail"
"Email Address","Endereço de e-mail"
"Enable","Ativar"
"Enabled","Ativado"
"Entry with ID #%s not found.","Entrada com ID #%s não encontrada."
"Expiration Period","Período de vencimento"
"Give the verifier code to application administrator","Dê o código verificador ao administrador do aplicativo"
"ID","Identidade"
"Invalid Callback URL","URL de retorno inválida"
"Invalid ID parameter.","Parâmetro de ID inválido."
"Invalid Rejected Callback URL","URL de retorno rejeitada inválida"
"Invalid entry ID.","ID de entrada inválido."
"Invalid revoke status.","Status de cancelamento inválido."
"Key","Senha"
"Log In","Entrar"
"Log in as a customer","Logar como cliente"
"Log in as admin","Logar como administrador"
"Log in as customer","Logar como cliente"
"Log in to use <strong>%s</strong>","Faça login para usar <strong>%s</strong>"
"Login","Conectar-se"
"My Applications","Meus aplicativos"
"Name","Nome"
"New Consumer","Novo cliente"
"OAuth","OAuth"
"OAuth Admin My Apps","Administrador OAuth Meus Aplicativos"
"OAuth Authorized Tokens","Tokens autorizados OAuth"
"OAuth Consumers","Clientes OAuth"
"OAuth authorization Pop Up for customer","Pop-up de autorização OAuth para cliente"
"OAuth authorization for admin","Autorização OAuth para administrador"
"OAuth authorization for customer","Autorização OAuth para consumidor"
"OAuth authorization simple for admin","Autorização OAuth simples para administrador"
"Password","Senha"
"Permissions","Permissões"
"Please login to proceed authorization.","Por favor, faça login para seguir com a autorização."
"Please select needed row(s).","Por favor, selecione a(s) fileira(s) necessária(s)."
"Please select revoke status.","Por favor, escolha o status de cancelamento."
"REST - My Apps","REST - Meus aplicativos"
"REST - OAuth Authorized Tokens","Tokens autorizados REST - OAuth"
"REST - OAuth Consumers","Clientes REST - OAuth"
"Reject","Rejeitar"
"Reject OAuth token authorization","Rejeitar autorização de token"
"Reject authorization","Rejeitar autorização"
"Reject token authorization Pop Up for admin","Rejeitar pop-up de autorização de token para administrador"
"Reject token authorization for admin","Rejeitar autorização de token para administrador"
"Rejected Callback URL","Retorno de URL rejeitada"
"Rejection Of Authorization","Rejeição de autorização"
"Revoked","Revogado"
"Role Name","Nome de Função"
"Save","Salvar"
"Save and Continue Edit","Salvar e continuar a editar"
"Secret","Secreto"
"Selected entries enabled.","Entradas selecionadas ativadas."
"Selected entries has been deleted.","As entradas selecionadas foram apagadas."
"Selected entries revoked.","Entradas selecionadas revogadas."
"Status","Status"
"System","Sistema"
"The application access request is rejected.","Pedido de acesso do aplicativo negado."
"The consumer has been deleted.","O cliente foi removido."
"The consumer has been saved.","O cliente foi salvo."
"Token Status Change","Troca no status do Token"
"Token Status Change Email Template","Template de e-mail da mudança de status do token"
"Unable to find a consumer.","Incapaz de encontrar um cliente."
"User ID","Identificação do Usuário"
"User Name","Nome do Usuário"
"User Type","Tipo de usuário"
"Verifier code: %s","Código verificador: %s"
"You have no applications.","Você não tem aplicativos."
"deleted","apagada"
"enabled","ativada"
"revoked","Revogada"
