"All Websites","Todos os sites"
"Apply Discounts To FPT","Aplicar descontos ao FPT"
"Apply Tax To FPT","Aplicar imposto ao FPT"
"Display Prices In Emails","Exibir preços em Emails"
"Display Prices In Product Lists","Exibir preços em listas de produtos"
"Display Prices In Sales Modules","Exibir preços em módulos de vendas"
"Display Prices On Product View Page","Exibir Preços em Página de Visualização do Produto"
"Enable FPT","Habilitar FPT"
"Excluding FPT","Excluindo FPT"
"Excluding FPT, FPT description, final price","Excluindo FPT, descrição de FPT, preço final"
"FPT Tax Configuration","Configuração de impostos FPT"
"Fixed Product Tax","Imposto fixo do produto"
"Fixed Product Taxes","Impostos fixos do produto"
"Include FPT In Subtotal","Incluir FPT no subtotal"
"Including FPT and FPT description","Incluindo FPT e descrição de FPT"
"Including FPT and FPT description [incl. FPT VAT]","Incluindo FPT e descrição de FPT [incluindo FPT IVA]"
"Including FPT only","Incluindo somente FPT"
"Loaded and Displayed with Tax","Carregado e exibido com imposto"
"Not Taxed","Não tributado"
"Taxed","Tributado"
"Total","Total"
"Total Incl. Tax","Total incluindo imposto"
"Total excl. tax","Total sem impostos"
"Total incl. tax","Total incluindo taxas"
"Total:","Total:"
