" Select Shipping Method","选择送货方式"
"<br/>Trace confirmation request:<br/>%s","<br/>追踪确认请求：<br/>%s"
"Access Key","访问密钥"
"Access Key ID","访问密钥 ID"
"Amazon Simple Pay","Amazon Simple Play"
"Amazon Simple Pay notification error","Amazon Simple Pay 通知错误"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Amazon Simple Pay 服务捕获到确认错误：确认请求数量与订单数量不一致。"
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Amazon Simple Pay 服务捕获到确认错误：已存在的发票数量与确认请求数量不匹配。"
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Amazon Simple Pay 服务捕获到确认错误：现有交易 ID 与确认请求中的交易 ID 不匹配。"
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Amazon Simple Pay 服务捕获确认。发票已自动捕获。"
"Amazon Simple Pay service confirmation error: order states sequence violation.","Amazon Simple Pay 服务确认错误：订单状态序列违规。"
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Amazon Simple Pay 服务确认错误：订单货币与 IPN 请求中的货币不匹配。"
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Amazon Simple Pay 服务确认错误：无法找到 IPN 中指定的订单请求。"
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Amazon Simple Pay 服务确认错误：订单中的支付方法不是 Amazon Simple Pay。"
"Amazon Simple Pay service confirmed capture for invoice %s.","Amazon Simple Pay 服务已确认捕获到发票 %s。"
"Amazon Simple Pay service confirmed refund for credit memo %s.","Amazon Simple Pay 服务已确认贷项凭证 %s 的退款。"
"Amazon Simple Pay service has confirmed amount authorization.","Amazon Simple Pay service 已确认金额授权。"
"Amazon Simple Pay service has confirmed cancelation.","Amazon Simple Pay 服务已确认了取消操作。"
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Amazon Simple Pay 服务已确认捕获到发票 %s。发票已自动捕获。"
"Amazon Simple Pay service has confirmed capture initiation.","Amazon Simple Pay 服务已确认捕获到启动操作。"
"Amazon Simple Pay service has confirmed capture.","Amazon Simple Pay 服务已确认捕获。"
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Amazon Simple Pay 服务已确认支付捕获。发票 %s 已在确认后自动生成。"
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Amazon Simple Pay 服务已确认支付捕获。发票已自动生成。"
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Amazon Simple Pay 服务已确认退款。贷项凭证 %s 已在确认后自动生成。"
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Amazon Simple Pay 服务已确认退款。贷项凭证已自动生成。"
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Amazon Simple Pay 服务已确认退款。贷项凭证已自动生成。"
"Amazon Simple Pay service has confirmed refund.","Amazon Simple Pay 已确认退款。"
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","Amazon Simple Pay 已确认退款。此贷项凭证已自动处理。"
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","Amazon Simple Pay 已确认退款了贷项凭证 %s。此贷项凭证已自动处理。"
"Amazon Simple Pay service is not available. Payment was not processed.","Amazon Simple Pay 服务不可用。支付未被处理。"
"Amazon Simple Pay service payment confirmation has failed.","Amazon Simple Pay 服务支付确认失败。"
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Amazon Simple Pay 退款确认错误：现有贷项凭证中的金额与确认请求中的金额不匹配。"
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Amazon Simple Pay 服务退款确认错误：确认请求金额与订单金额不匹配。"
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","Amazon Simple Pay 退款确认错误：现有贷项凭证中的交易 ID 与确认请求中的交易 ID 不匹配。"
"Authorize Only","仅供授权"
"Authorize and Capture","授权和捕获"
"Cancel Description","取消描述"
"Cancel Order Notification received from Checkout by Amazon service.","从 Checkout by Amazon 服务处接收到取消订单通知。"
"Checkout by Amazon","Checkout by Amazon"
"Continue Shopping","继续购物"
"Customer was redirected to Amazon Simple Pay site","客户已被跳转至 Amazon Simple Pay 网站"
"Debug","调试"
"Debug Log","故障调试日志"
"Email Sender","电子邮件发送人"
"Enable","启用"
"Error Log","错误日志"
"FPS Sandbox Service URI","FPS 沙盒服务 URI"
"FPS Service URI","FPS 服务 URI"
"Immediate Return","立即返回"
"Invalid action code.","无效的操作代码。"
"Invalid request.","无效的请求。"
