"Access denied.","访问被拒绝"
"Can not find webservice adapter.","无法找到 Web 服务适配器。"
"Client Session Timeout (sec.)","客户端会话超时（秒。）"
"Default Response Charset","默认响应字符集"
"Email","电子邮件"
"Enable WSDL Cache","启用 WSDL 缓存"
"General Settings","常规设置"
"Invalid webservice adapter specified.","指定的Web服务适配器无效。"
"Invalid webservice handler specified.","指定的Web服务处理程序无效。"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API 部分"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - 角色"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - 用户"
"Unable to login.","无法登录。"
"User Name","用户名"
"WS-I Compliance","WS-I 兼容"
"Web Services","Web服务"
"Your account has been deactivated.","您的帐户已被撤销。"
