"%s","%s"
"%s role is a special one and can\'t be changed.","%s 是特殊职位，不可更改。"
"%s role is a special one and can\'t be deleted.","%s 是特殊职位，不可删除。"
"%s role is protected.","%s 职位受到保护。"
"ACL Attribute Rules","访问控制列表属性规则"
"ACL Attributes Information","访问控制列表属性信息"
"Add","添加"
"Add Admin Role","增设管理员职位"
"Add New Role","添加新角色"
"Address Type","地址类型"
"Admin","管理员"
"Allow","允许"
"An error occurred while deleting the role.","删除职位时发生错误。"
"An error occurred while saving attribute rules.","保存属性设置时发生错误。"
"An error occurred while saving role.","保存职位时发生错误。"
"Api Rules Information","API 规则信息"
"Assigned","已分配"
"Associate to Website","连接到网站"
"Attribute Rules Information","属性规则信息"
"Attribute Set","属性集"
"Attributes","属性"
"Automatically Return Credit Memo Item to Stock","自动返回信用备忘项目到库存"
"Back","返回"
"Backorders","缺货"
"Base Currency","基准货币"
"Base Customer Balance","用户基础余额"
"Base Discount","基础折扣"
"Base Discount Amount","基础折扣金额"
"Base Item Subtotal","基础项目小计"
"Base Item Subtotal Including Tax","基础项目含税小计"
"Base Original Price","基础原价"
"Base Price","基价"
"Base Price Including Tax","含税基价"
"Base Shipping","基础运费"
"Base Shipping Discount","基础运费折扣"
"Base Shipping Tax","基础航运税"
"Base Subtotal","基础小计"
"Base Subtotal Including Tax","基础含税小计"
"Base Tax Amount","基础税额"
"Base Total Due","应付基础总额"
"Base Total Paid","已付基础总额"
"Base Total Refunded","已退基础总额"
"Buy Now URL","立即购买 URL"
"Can Be Divided into Multiple Boxes for Shipping","可拆分发货"
"Canceled Qty","已取消数量"
"Catalog","分类"
"Catalog Product","目录产品"
"CatalogInventory","产品目录"
"Category ID","分类ID"
"City","城市"
"Company","公司"
"Country","国家"
"Coupon Code","折扣券代码"
"Create","创建"
"Create Permanent Redirect for old URL","为老URL创建永久重定向"
"Created From","创建来自"
"Customer","客户"
"Customer Address","客户地址"
"Customer Address ID","客户地址 ID"
"Customer Balance","顾客余额"
"Customer First Name","客户名字"
"Customer ID","客户ID"
"Customer Last Name","客户姓氏"
"Customer Middle Name","客户中间名"
"Customer Prefix","客户前缀"
"Customer Suffix","客户后缀"
"Default Image","默认图片"
"Delete","删除"
"Deny","拒绝"
"Disable automatic group change based on VAT ID","禁用基于增值税发票号的自动小组更改"
"Discount","折扣"
"Discount Amount","折扣帐户"
"Discount Description","折扣描述"
"Edit","编辑"
"Edit %s ACL attribute rules","编辑  %s 访问控制列表属性规则"
"Edit Role","编辑角色"
"Edit attribute rules for %s Role","为  %s 职位编辑属性规则"
"Email","电子邮件"
"Enable Qty Increments","启用数量增量"
"Exclude","排除"
"File Content","文件内容"
"File MIME Type","多用途互联网邮件扩展类型"
"File Name","文件名"
"Final Price With Tax","最终含税价格"
"Final Price Without Tax","最终不含税价格"
"First Name","名字"
"Gift Message","礼品消息"
"Grand Total","总计"
"Grand Total to Be Charged","应付总额"
"Group","分组"
"Guest","来宾"
"Has Custom Options","有自定义选项"
"ID","ID"
"Inventory Data","库存数据"
"Invoiced Qty","开票数量"
"Is Confirmed","已确认"
"Is Default Billing Address","是默认帐单地址"
"Is Default Shipping Address","是默认送货地址"
"Item ID","项目代码"
"Item Subtotal","项目小计"
"Item Subtotal Including Tax","含税项目小计"
"Label","标签"
"Last Logged In","最近登录时间"
