"Collected Files Count","已收集文件计数"
"Compilation","编译"
"Compilation State","编译状态"
"Compilation error","编译错误"
"Compiled","已编译"
"Compiled Scopes Count","编译范围计数"
"Compiler Status","编译器状态"
"Compiler include path is disabled.","编译器包含路径已禁用。"
"Compiler include path is enabled.","编译器包含路径已启用。"
"Directory ""%s"" must be writeable","目录“%s”必须为可写"
"Disable","禁用"
"Disabled","已禁用"
"Enable","启用"
"Enabled","已启用"
"File ""%s"" must be writeable","文件“%s”必须为可写"
"Not Compiled","未编译"
"Run Compilation Process","运行编译过程"
"Scopes Compilation Settings","范围编译设置"
"System","系统"
"The compilation has completed.","编译已完成。"
"Tools","工具"
